Friday, May 30, 2014	9:15:01 AM		Logging to file ./clientlog//EMClient__000000053.txt
Friday, May 30, 2014	9:15:01 AM		SETTING	LogServer	True
Friday, May 30, 2014	9:15:01 AM		SETTING	LogServerPath	./serverlog
Friday, May 30, 2014	9:15:01 AM		SETTING	LogClient	True
Friday, May 30, 2014	9:15:01 AM		SETTING	LogClientPath	./clientlog
Friday, May 30, 2014	9:24:09 AM	74        	0.625     	148       	547920    
Friday, May 30, 2014	9:24:17 AM	75        	0.25      	150       	555215    
Friday, May 30, 2014	9:24:24 AM	76        	0.484848484848485	152       	562511    
Friday, May 30, 2014	9:24:31 AM	77        	0         	155       	569803    
Friday, May 30, 2014	9:24:39 AM	78        	0.242424242424242	157       	577112    
Friday, May 30, 2014	9:24:46 AM	79        	0.413793103448276	158       	584408    
Friday, May 30, 2014	9:24:53 AM	80        	0.242424242424242	160       	591712    
Friday, May 30, 2014	9:25:01 AM	81        	0.413793103448276	162       	599008    
Friday, May 30, 2014	9:25:08 AM	82        	0.606060606060606	164       	606304    
Friday, May 30, 2014	9:25:15 AM	83        	0         	167       	613584    
Friday, May 30, 2014	9:25:22 AM	84        	0.444444444444444	168       	620880    
Friday, May 30, 2014	9:25:30 AM	85        	0         	171       	628172    
Friday, May 30, 2014	9:25:37 AM	86        	0.242424242424242	172       	635456    
Friday, May 30, 2014	9:25:44 AM	87        	0.25      	174       	642752    
Friday, May 30, 2014	9:25:52 AM	88        	0         	177       	650032    
Friday, May 30, 2014	9:25:59 AM	89        	0.222222222222222	179       	657328    
Friday, May 30, 2014	9:26:06 AM	90        	0.363636363636364	180       	664612    
Friday, May 30, 2014	9:26:13 AM	91        	0.625     	182       	671892    
Friday, May 30, 2014	9:26:21 AM	92        	0.363636363636364	184       	679192    
Friday, May 30, 2014	9:26:28 AM	93        	0.413793103448276	186       	686484    
Friday, May 30, 2014	9:26:35 AM	94        	0.125     	189       	693792    
Friday, May 30, 2014	9:26:43 AM	95        	0.484848484848485	190       	701084    
Friday, May 30, 2014	9:26:50 AM	96        	0.363636363636364	193       	708388    
Friday, May 30, 2014	9:26:57 AM	97        	0.32      	195       	715668    
Friday, May 30, 2014	9:27:05 AM	98        	0.727272727272727	197       	722948    
Friday, May 30, 2014	9:27:12 AM	99        	0.25      	198       	730240    
Friday, May 30, 2014	9:27:19 AM	100       	0.363636363636364	200       	737520    
Friday, May 30, 2014	9:27:26 AM	101       	0.363636363636364	203       	744808    
Friday, May 30, 2014	9:27:34 AM	102       	0.413793103448276	205       	752100    
Friday, May 30, 2014	9:27:41 AM	103       	0.606060606060606	206       	759404    
Friday, May 30, 2014	9:27:48 AM	104       	0.16      	208       	766684    
Friday, May 30, 2014	9:27:56 AM	105       	0         	211       	773976    
Friday, May 30, 2014	9:28:03 AM	106       	0.16      	212       	781260    
Friday, May 30, 2014	9:28:10 AM	107       	0.25      	215       	788548    
Friday, May 30, 2014	9:28:17 AM	108       	0.242424242424242	217       	795848    
Friday, May 30, 2014	9:28:25 AM	109       	0.121212121212121	218       	803128    
Friday, May 30, 2014	9:28:32 AM	110       	0.64      	221       	810424    
Friday, May 30, 2014	9:28:39 AM	111       	0.16      	222       	817704    
Friday, May 30, 2014	9:28:47 AM	112       	0.222222222222222	225       	824996    
Friday, May 30, 2014	9:28:54 AM	113       	0.444444444444444	227       	832276    
Friday, May 30, 2014	9:29:01 AM	114       	0.16      	228       	839568    
Friday, May 30, 2014	9:29:08 AM	115       	0         	231       	846860    
Friday, May 30, 2014	9:29:16 AM	116       	0.413793103448276	232       	854148    
Friday, May 30, 2014	9:29:23 AM	117       	0         	235       	861444    
Friday, May 30, 2014	9:29:30 AM	118       	0.484848484848485	236       	868732    
Friday, May 30, 2014	9:29:38 AM	119       	0.363636363636364	239       	876028    
Friday, May 30, 2014	9:29:45 AM	120       	0.242424242424242	240       	883316    
Friday, May 30, 2014	9:29:52 AM	121       	0.413793103448276	243       	890616    
Friday, May 30, 2014	9:29:59 AM	122       	0.413793103448276	245       	897928    
Friday, May 30, 2014	9:30:07 AM	123       	0.64      	246       	905216    
Friday, May 30, 2014	9:30:14 AM	124       	0.125     	248       	912496    
