20 May 2014	07:52:13		Logging to file ./clientlog//EMClient__000000062.txt
20 May 2014	07:52:13		SETTING	LogServer	True
20 May 2014	07:52:13		SETTING	LogServerPath	./serverlog
20 May 2014	07:52:13		SETTING	LogClient	True
20 May 2014	07:52:13		SETTING	LogClientPath	./clientlog
20 May 2014	07:52:13		SETTING	Server	129.241.102.247
20 May 2014	07:52:13		SETTING	ServerPort	9090
20 May 2014	07:52:13		SETTING	DataAPIServerPort	9091
20 May 2014	07:52:13		SETTING	DataAPIServer	localhost
20 May 2014	07:52:13	Microsoft CLR? YES
20 May 2014	07:52:13	Ping response = 0
20 May 2014	07:52:13	Ping response took 74ms or 180700 ticks
20 May 2014	07:52:27	0         	6         	4         	13600     
20 May 2014	07:53:35	1         	7         	6         	81929     
20 May 2014	07:53:49	2         	5         	14        	95762     
20 May 2014	07:54:03	3         	5         	17        	109601    
20 May 2014	07:54:16	4         	5         	23        	123530    
20 May 2014	07:54:32	5         	6         	29        	138870    
20 May 2014	07:54:46	6         	6         	32        	152805    
20 May 2014	07:55:00	7         	6         	36        	166659    
20 May 2014	07:55:13	8         	6         	41        	180445    
20 May 2014	07:55:27	9         	5         	47        	194384    
20 May 2014	07:55:41	10        	6         	50        	208259    
20 May 2014	07:55:55	11        	5         	56        	222182    
20 May 2014	07:56:09	12        	6         	63        	236079    
20 May 2014	07:56:23	13        	5         	65        	250452    
20 May 2014	07:56:37	14        	6         	72        	264316    
20 May 2014	07:56:51	15        	5         	79        	278169    
20 May 2014	07:57:05	16        	6         	82        	292115    
20 May 2014	07:57:19	17        	5         	86        	306011    
20 May 2014	07:57:33	18        	7         	94        	319933    
20 May 2014	07:57:47	19        	5         	97        	333805    
20 May 2014	07:58:01	20        	5         	103       	347630    
20 May 2014	07:58:15	21        	5         	108       	361624    
20 May 2014	07:58:29	22        	6         	112       	375891    
20 May 2014	07:58:43	23        	6         	117       	389662    
20 May 2014	07:58:56	24        	6         	120       	403479    
20 May 2014	07:59:10	25        	5         	128       	417290    
20 May 2014	07:59:24	26        	5         	133       	431056    
20 May 2014	07:59:38	27        	5         	138       	444847    
20 May 2014	07:59:52	28        	6         	142       	458641    
20 May 2014	08:00:05	29        	6         	147       	472279    
20 May 2014	08:00:19	30        	7         	153       	486048    
20 May 2014	08:00:33	31        	5         	157       	500136    
20 May 2014	08:00:47	32        	5         	160       	513808    
20 May 2014	08:01:01	33        	7         	167       	527569    
20 May 2014	08:01:14	34        	6         	172       	541405    
20 May 2014	08:01:28	35        	4         	179       	555340    
20 May 2014	08:01:42	36        	5         	184       	569050    
20 May 2014	08:01:56	37        	6         	188       	582869    
20 May 2014	08:02:10	38        	5         	194       	596685    
20 May 2014	08:02:24	39        	6         	199       	610804    
20 May 2014	08:02:37	40        	8         	201       	624380    
20 May 2014	08:02:51	41        	8         	208       	638076    
20 May 2014	08:03:05	42        	5         	211       	651942    
20 May 2014	08:03:18	43        	8         	217       	665481    
20 May 2014	08:03:32	44        	7         	220       	678976    
20 May 2014	08:03:46	45        	6         	227       	692685    
20 May 2014	08:03:59	46        	5         	232       	706472    
20 May 2014	08:04:13	47        	4         	238       	720321    
20 May 2014	08:04:28	48        	5         	241       	734734    
20 May 2014	08:04:42	49        	8         	246       	748594    
20 May 2014	08:04:55	50        	5         	253       	762388    
20 May 2014	08:05:09	51        	7         	257       	776221    
20 May 2014	08:05:23	52        	5         	262       	790071    
20 May 2014	08:05:37	53        	6         	269       	803949    
20 May 2014	08:05:51	54        	6         	270       	817880    
20 May 2014	08:06:05	55        	6         	279       	831711    
20 May 2014	08:06:18	56        	6         	281       	845524    
20 May 2014	08:06:34	57        	5         	288       	860772    
20 May 2014	08:06:48	58        	5         	294       	874681    
20 May 2014	08:07:01	59        	5         	296       	888557    
20 May 2014	08:07:15	60        	5         	301       	902373    
20 May 2014	08:07:29	61        	6         	306       	916067    
20 May 2014	08:07:43	62        	5         	310       	929824    
20 May 2014	08:07:57	63        	5         	318       	943597    
20 May 2014	08:08:10	64        	5         	324       	957315    
20 May 2014	08:08:25	65        	6         	329       	971810    
20 May 2014	08:08:39	66        	5         	333       	985618    
20 May 2014	08:08:52	67        	4         	339       	999492    
20 May 2014	08:09:06	68        	4         	343       	1013405   
20 May 2014	08:09:20	69        	4         	347       	1027389   
20 May 2014	08:09:35	70        	6         	353       	1041833   
20 May 2014	08:09:49	71        	5         	355       	1055703   
20 May 2014	08:10:03	72        	6         	363       	1069572   
20 May 2014	08:10:16	73        	6         	366       	1083358   
20 May 2014	08:10:30	74        	7         	373       	1097115   
20 May 2014	08:10:44	75        	7         	379       	1110648   
20 May 2014	08:10:57	76        	5         	383       	1124192   
20 May 2014	08:11:11	77        	7         	387       	1137708   
20 May 2014	08:11:24	78        	5         	392       	1151179   
20 May 2014	08:11:38	79        	5         	399       	1165150   
20 May 2014	08:11:52	80        	5         	404       	1178645   
20 May 2014	08:12:05	81        	5         	409       	1192240   
20 May 2014	08:12:19	82        	4         	411       	1205730   
20 May 2014	08:12:32	83        	6         	419       	1219274   
20 May 2014	08:12:46	84        	6         	423       	1232841   
20 May 2014	08:12:59	85        	7         	429       	1246289   
20 May 2014	08:13:13	86        	6         	433       	1259683   
20 May 2014	08:13:26	87        	4         	438       	1272930   
20 May 2014	08:13:40	88        	5         	441       	1287522   
20 May 2014	08:13:54	89        	6         	446       	1300931   
20 May 2014	08:14:07	90        	4         	454       	1314434   
20 May 2014	08:14:21	91        	4         	459       	1327917   
20 May 2014	08:14:35	92        	5         	464       	1342268   
20 May 2014	08:14:50	93        	6         	467       	1357323   
20 May 2014	08:15:04	94        	5         	474       	1370772   
20 May 2014	08:15:17	95        	7         	476       	1384184   
20 May 2014	08:15:30	96        	6         	481       	1397540   
20 May 2014	08:15:44	97        	5         	489       	1411501   
