20 May 2014	08:46:01		Logging to file ./clientlog//EMClient__000000083.txt
20 May 2014	08:46:01		SETTING	LogServer	True
20 May 2014	08:46:01		SETTING	LogServerPath	./serverlog
20 May 2014	08:46:01		SETTING	LogClient	True
20 May 2014	08:46:01		SETTING	LogClientPath	./clientlog
20 May 2014	08:46:01		SETTING	Server	129.241.102.247
20 May 2014	08:46:01		SETTING	ServerPort	9090
20 May 2014	08:46:01		SETTING	DataAPIServerPort	9091
20 May 2014	08:46:01		SETTING	DataAPIServer	localhost
20 May 2014	08:46:01	Microsoft CLR? YES
20 May 2014	08:46:01	Ping response = 0
20 May 2014	08:46:01	Ping response took 74ms or 180476 ticks
20 May 2014	08:46:15	0         	6         	2         	13591     
20 May 2014	08:46:28	1         	7         	7         	27127     
20 May 2014	08:46:41	2         	6         	13        	40061     
20 May 2014	08:46:54	3         	6         	18        	53034     
20 May 2014	08:47:07	4         	5         	20        	65921     
20 May 2014	08:47:20	5         	5         	29        	78684     
20 May 2014	08:47:33	6         	5         	33        	91547     
20 May 2014	08:47:46	7         	6         	39        	104340    
20 May 2014	08:47:58	8         	6         	43        	117070    
20 May 2014	08:48:11	9         	6         	48        	129917    
20 May 2014	08:48:25	10        	4         	53        	143363    
20 May 2014	08:48:38	11        	6         	57        	156460    
20 May 2014	08:48:51	12        	5         	64        	169526    
20 May 2014	08:49:04	13        	6         	66        	182700    
20 May 2014	08:49:17	14        	5         	72        	195835    
20 May 2014	08:49:30	15        	6         	76        	208989    
20 May 2014	08:49:43	16        	6         	81        	222100    
20 May 2014	08:49:57	17        	5         	89        	235252    
20 May 2014	08:50:10	18        	5         	94        	248243    
20 May 2014	08:50:22	19        	5         	98        	261003    
20 May 2014	08:50:35	20        	6         	101       	273754    
20 May 2014	08:50:48	21        	3         	107       	286501    
20 May 2014	08:51:01	22        	5         	112       	299404    
20 May 2014	08:51:14	23        	6         	115       	312185    
20 May 2014	08:51:27	24        	4         	120       	325425    
20 May 2014	08:51:40	25        	5         	126       	338209    
