23 May 2014	11:05:10		Logging to file ./clientlog//EMClient__000000168.txt
23 May 2014	11:05:10		SETTING	LogServer	True
23 May 2014	11:05:10		SETTING	LogServerPath	./serverlog
23 May 2014	11:05:10		SETTING	LogClient	True
23 May 2014	11:05:10		SETTING	LogClientPath	./clientlog
23 May 2014	11:05:10		SETTING	Server	129.241.102.247
23 May 2014	11:05:10		SETTING	ServerPort	9090
23 May 2014	11:05:10		SETTING	DataAPIServerPort	9091
23 May 2014	11:05:10		SETTING	DataAPIServer	localhost
23 May 2014	11:05:10	Microsoft CLR? YES
23 May 2014	11:20:18	Ping response = 0
23 May 2014	11:20:18	Ping response took 907842ms or 2211383337 ticks
23 May 2014	11:20:37	0         	5         	4         	19198     
23 May 2014	11:20:56	1         	6         	9         	38574     
23 May 2014	11:21:15	2         	6         	14        	57133     
23 May 2014	11:21:34	3         	6         	19        	76123     
23 May 2014	11:21:53	4         	6         	24        	95231     
23 May 2014	11:22:12	5         	6         	29        	114380    
23 May 2014	11:22:31	6         	6         	34        	133670    
23 May 2014	11:22:51	7         	6         	39        	153488    
23 May 2014	11:23:11	8         	6         	44        	173160    
23 May 2014	11:23:30	9         	6         	49        	192229    
23 May 2014	11:23:49	10        	6         	53        	211375    
23 May 2014	11:24:08	11        	6         	59        	230557    
23 May 2014	11:24:27	12        	6         	63        	249791    
23 May 2014	11:24:47	13        	6         	69        	268931    
23 May 2014	11:25:06	14        	6         	74        	288551    
23 May 2014	11:25:25	15        	6         	79        	307609    
23 May 2014	11:25:44	16        	6         	84        	326673    
23 May 2014	11:26:03	17        	6         	89        	345219    
23 May 2014	11:26:21	18        	6         	94        	363844    
23 May 2014	11:26:40	19        	6         	98        	382322    
23 May 2014	11:26:59	20        	6         	102       	401626    
23 May 2014	11:27:18	21        	6         	109       	420466    
23 May 2014	11:27:37	22        	6         	113       	439439    
23 May 2014	11:27:56	23        	6         	119       	458246    
23 May 2014	11:28:15	24        	6         	124       	477738    
23 May 2014	11:28:32	25        	6         	128       	493894    
23 May 2014	11:28:48	26        	6         	130       	510024    
23 May 2014	11:29:07	27        	6         	138       	529030    
23 May 2014	11:29:26	28        	6         	144       	547873    
23 May 2014	11:29:44	29        	6         	149       	566672    
23 May 2014	11:30:04	30        	6         	152       	586329    
23 May 2014	11:30:22	31        	7         	158       	604822    
23 May 2014	11:30:41	32        	5         	164       	623834    
23 May 2014	11:31:01	33        	7         	168       	642870    
23 May 2014	11:31:20	34        	5         	174       	661898    
23 May 2014	11:31:39	35        	5         	179       	681312    
23 May 2014	11:31:59	36        	5         	184       	701158    
23 May 2014	11:32:18	37        	5         	189       	720473    
23 May 2014	11:32:37	38        	6         	193       	739549    
23 May 2014	11:32:56	39        	6         	199       	758782    
23 May 2014	11:33:16	40        	6         	204       	778123    
23 May 2014	11:33:35	41        	6         	208       	797659    
23 May 2014	11:33:55	42        	6         	212       	817357    
23 May 2014	11:34:15	43        	5         	219       	837162    
23 May 2014	11:34:34	44        	5         	224       	856510    
23 May 2014	11:34:51	45        	5         	229       	873095    
23 May 2014	11:35:10	46        	5         	234       	892136    
23 May 2014	11:35:29	47        	5         	239       	911502    
23 May 2014	11:35:49	48        	5         	243       	931207    
23 May 2014	11:36:08	49        	5         	249       	950561    
23 May 2014	11:36:28	50        	5         	254       	969877    
23 May 2014	11:36:47	51        	5         	259       	989205    
23 May 2014	11:37:07	52        	5         	264       	1008978   
23 May 2014	11:37:26	53        	5         	269       	1028303   
23 May 2014	11:37:45	54        	5         	274       	1047855   
23 May 2014	11:38:05	55        	5         	279       	1067094   
23 May 2014	11:38:24	56        	6         	284       	1086628   
23 May 2014	11:38:44	57        	6         	289       	1106104   
23 May 2014	11:39:03	58        	6         	294       	1125778   
23 May 2014	11:39:23	59        	6         	299       	1145223   
23 May 2014	11:39:42	60        	6         	304       	1164614   
23 May 2014	11:40:02	61        	6         	309       	1184032   
23 May 2014	11:40:21	62        	6         	314       	1203362   
23 May 2014	11:40:40	63        	6         	319       	1222726   
23 May 2014	11:41:00	64        	6         	324       	1242157   
23 May 2014	11:41:19	65        	6         	329       	1261529   
23 May 2014	11:41:38	66        	6         	334       	1280428   
23 May 2014	11:41:57	67        	6         	339       	1299275   
23 May 2014	11:42:16	68        	6         	344       	1318154   
23 May 2014	11:42:35	69        	6         	348       	1337476   
23 May 2014	11:42:54	70        	5         	354       	1356696   
23 May 2014	11:43:15	71        	6         	357       	1377154   
23 May 2014	11:43:34	72        	6         	364       	1396486   
23 May 2014	11:43:53	73        	6         	368       	1415709   
23 May 2014	11:44:13	74        	6         	374       	1435593   
23 May 2014	11:44:32	75        	6         	379       	1454569   
23 May 2014	11:44:51	76        	6         	384       	1473762   
23 May 2014	11:45:10	77        	6         	389       	1492749   
23 May 2014	11:45:29	78        	6         	394       	1511686   
23 May 2014	11:45:49	79        	6         	399       	1531037   
23 May 2014	11:46:08	80        	6         	404       	1550392   
