27 May 2014	20:43:20		Logging to file ./clientlog//EMClient__000000236.txt
27 May 2014	20:43:20		SETTING	LogServer	True
27 May 2014	20:43:20		SETTING	LogServerPath	./serverlog
27 May 2014	20:43:20		SETTING	LogClient	True
27 May 2014	20:43:20		SETTING	LogClientPath	./clientlog
27 May 2014	20:43:20		SETTING	Server	129.241.102.247
27 May 2014	20:43:20		SETTING	ServerPort	9090
27 May 2014	20:43:20		SETTING	DataAPIServerPort	9091
27 May 2014	20:43:20		SETTING	DataAPIServer	localhost
27 May 2014	20:43:20	Microsoft CLR? YES
27 May 2014	20:43:20	Ping response = 0
27 May 2014	20:43:20	Ping response took 79ms or 193151 ticks
27 May 2014	20:44:12	0         	0.657142857142857	3         	51712     
27 May 2014	20:45:01	1         	0.657142857142857	9         	100074    
27 May 2014	20:45:52	2         	0.657142857142857	14        	151546    
27 May 2014	20:46:41	3         	0.657142857142857	17        	200736    
27 May 2014	20:47:30	4         	0.657142857142857	24        	249255    
27 May 2014	20:48:18	5         	0.657142857142857	29        	297950    
27 May 2014	20:49:07	6         	0.657142857142857	34        	346297    
27 May 2014	20:49:55	7         	0.657142857142857	39        	394552    
27 May 2014	20:50:44	8         	0.680851063829787	43        	443196    
27 May 2014	20:51:33	9         	0.657142857142857	49        	491988    
27 May 2014	20:52:20	10        	0.657142857142857	54        	539914    
27 May 2014	20:53:09	11        	0.657142857142857	59        	588580    
27 May 2014	20:53:58	12        	0.657142857142857	64        	637625    
27 May 2014	20:54:48	13        	0.714285714285714	67        	687666    
27 May 2014	20:55:37	14        	0.75177304964539	74        	736050    
27 May 2014	20:56:25	15        	0.657142857142857	79        	784578    
27 May 2014	20:57:15	16        	0.657142857142857	84        	834556    
27 May 2014	20:58:04	17        	0.657142857142857	89        	883221    
27 May 2014	20:58:52	18        	0.657142857142857	94        	931221    
27 May 2014	20:59:40	19        	0.657142857142857	97        	979662    
27 May 2014	21:00:30	20        	0.657142857142857	104       	1029909   
27 May 2014	21:01:21	21        	0.657142857142857	109       	1080742   
27 May 2014	21:02:10	22        	0.657142857142857	114       	1129180   
27 May 2014	21:02:57	23        	0.657142857142857	119       	1176830   
27 May 2014	21:03:46	24        	0.680851063829787	122       	1225652   
27 May 2014	21:04:34	25        	0.657142857142857	129       	1273602   
27 May 2014	21:05:22	26        	0.657142857142857	133       	1321137   
27 May 2014	21:06:09	27        	0.657142857142857	139       	1368502   
27 May 2014	21:06:56	28        	0.657142857142857	144       	1415963   
27 May 2014	21:07:44	29        	0.657142857142857	149       	1463402   
27 May 2014	21:08:31	30        	0.657142857142857	154       	1510952   
27 May 2014	21:09:19	31        	0.657142857142857	158       	1558241   
27 May 2014	21:10:06	32        	0.657142857142857	162       	1605949   
27 May 2014	21:10:54	33        	0.657142857142857	169       	1653344   
27 May 2014	21:11:42	34        	0.657142857142857	174       	1701256   
27 May 2014	21:12:30	35        	0.657142857142857	177       	1749125   
27 May 2014	21:13:17	36        	0.688524590163934	181       	1796434   
27 May 2014	21:14:04	37        	0.657142857142857	188       	1843956   
27 May 2014	21:14:52	38        	0.75177304964539	193       	1891470   
27 May 2014	21:15:41	39        	0.657142857142857	199       	1940240   
27 May 2014	21:16:28	40        	0.657142857142857	202       	1987645   
27 May 2014	21:17:15	41        	0.657142857142857	209       	2034971   
27 May 2014	21:18:03	42        	0.657142857142857	214       	2082539   
27 May 2014	21:18:50	43        	0.657142857142857	219       	2129808   
27 May 2014	21:19:38	44        	0.657142857142857	224       	2177221   
27 May 2014	21:20:25	45        	0.657142857142857	229       	2224440   
27 May 2014	21:21:15	46        	0.661654135338346	234       	2274057   
27 May 2014	21:22:02	47        	0.657142857142857	239       	2321700   
27 May 2014	21:22:50	48        	0.657142857142857	243       	2369023   
27 May 2014	21:23:37	49        	0.657142857142857	249       	2416231   
27 May 2014	21:24:25	50        	0.657142857142857	254       	2464345   
27 May 2014	21:25:13	51        	0.657142857142857	259       	2512117   
27 May 2014	21:26:00	52        	0.657142857142857	263       	2559339   
27 May 2014	21:26:47	53        	0.657142857142857	269       	2606486   
27 May 2014	21:27:36	54        	0.657142857142857	274       	2655044   
27 May 2014	21:28:25	55        	0.657142857142857	279       	2704158   
27 May 2014	21:29:14	56        	0.657142857142857	284       	2753133   
27 May 2014	21:30:01	57        	0.657142857142857	289       	2800598   
27 May 2014	21:30:49	58        	0.657142857142857	294       	2848394   
27 May 2014	21:31:38	59        	0.657142857142857	298       	2897275   
27 May 2014	21:32:26	60        	0.657142857142857	304       	2945274   
27 May 2014	21:33:15	61        	0.680851063829787	306       	2994095   
27 May 2014	21:34:04	62        	0.657142857142857	314       	3043708   
27 May 2014	21:34:53	63        	0.657142857142857	319       	3092552   
27 May 2014	21:35:43	64        	0.657142857142857	324       	3142681   
