22 May 2014	08:09:21		Logging to file ./clientlog//EMClient__000000126.txt
22 May 2014	08:09:21		SETTING	LogServer	True
22 May 2014	08:09:21		SETTING	LogServerPath	./serverlog
22 May 2014	08:09:21		SETTING	LogClient	True
22 May 2014	08:09:21		SETTING	LogClientPath	./clientlog
22 May 2014	08:09:21		SETTING	Server	129.241.102.247
22 May 2014	08:09:21		SETTING	ServerPort	9090
22 May 2014	08:09:21		SETTING	DataAPIServerPort	9091
22 May 2014	08:09:21		SETTING	DataAPIServer	localhost
22 May 2014	08:09:21	Microsoft CLR? YES
22 May 2014	08:09:21	Ping response = 0
22 May 2014	08:09:21	Ping response took 74ms or 182110 ticks
22 May 2014	08:09:32	0         	3         	0         	10007     
22 May 2014	08:09:41	1         	2         	9         	19306     
22 May 2014	08:09:50	2         	2         	14        	28436     
22 May 2014	08:09:59	3         	3         	18        	37555     
22 May 2014	08:10:08	4         	3         	22        	46721     
22 May 2014	08:10:17	5         	2         	29        	55907     
22 May 2014	08:10:27	6         	3         	34        	65044     
22 May 2014	08:10:36	7         	3         	36        	74251     
22 May 2014	08:10:45	8         	2         	43        	83416     
22 May 2014	08:10:54	9         	2         	49        	92600     
22 May 2014	08:11:03	10        	2         	54        	101742    
22 May 2014	08:11:12	11        	3         	58        	110919    
22 May 2014	08:11:22	12        	3         	60        	120003    
22 May 2014	08:11:31	13        	3         	69        	129230    
22 May 2014	08:11:40	14        	3         	73        	138732    
22 May 2014	08:11:49	15        	2         	79        	147843    
22 May 2014	08:11:59	16        	3         	82        	157022    
22 May 2014	08:12:08	17        	2         	89        	166176    
22 May 2014	08:12:17	18        	3         	94        	175396    
22 May 2014	08:12:26	19        	3         	95        	184579    
22 May 2014	08:12:35	20        	3         	100       	193823    
22 May 2014	08:12:45	21        	2         	109       	202971    
22 May 2014	08:12:54	22        	2         	114       	212280    
22 May 2014	08:13:03	23        	3         	116       	221367    
22 May 2014	08:13:12	24        	2         	124       	230535    
22 May 2014	08:13:22	25        	6         	127       	240777    
22 May 2014	08:13:31	26        	3         	133       	249719    
22 May 2014	08:13:41	27        	3         	139       	259147    
22 May 2014	08:13:50	28        	3         	140       	268053    
22 May 2014	08:14:00	29        	5         	145       	278062    
22 May 2014	08:14:09	30        	2         	154       	286967    
22 May 2014	08:14:17	31        	2         	159       	295895    
22 May 2014	08:14:26	32        	2         	164       	304927    
22 May 2014	08:14:36	33        	3         	166       	314271    
22 May 2014	08:14:45	34        	2         	174       	323473    
22 May 2014	08:14:54	35        	3         	179       	332701    
22 May 2014	08:15:03	36        	3         	182       	341757    
22 May 2014	08:15:12	37        	3         	189       	350581    
22 May 2014	08:15:21	38        	3         	194       	359321    
22 May 2014	08:15:30	39        	3         	198       	368189    
22 May 2014	08:15:39	40        	2         	204       	377833    
22 May 2014	08:15:49	41        	2         	209       	387069    
22 May 2014	08:15:57	42        	2         	214       	395943    
22 May 2014	08:16:06	43        	2         	219       	404751    
22 May 2014	08:16:15	44        	2         	224       	413569    
22 May 2014	08:16:24	45        	3         	227       	422532    
22 May 2014	08:16:33	46        	2         	234       	431771    
22 May 2014	08:16:42	47        	3         	236       	440912    
22 May 2014	08:16:52	48        	3         	244       	450130    
22 May 2014	08:17:01	49        	3         	248       	459536    
22 May 2014	08:17:10	50        	3         	251       	468708    
22 May 2014	08:17:21	51        	6         	259       	479101    
22 May 2014	08:17:30	52        	3         	263       	488339    
22 May 2014	08:17:39	53        	3         	269       	497575    
22 May 2014	08:17:50	54        	4         	270       	508051    
22 May 2014	08:17:59	55        	2         	279       	517271    
22 May 2014	08:18:08	56        	3         	283       	526379    
22 May 2014	08:18:17	57        	3         	287       	535567    
22 May 2014	08:18:26	58        	3         	292       	544734    
22 May 2014	08:18:35	59        	2         	299       	553904    
22 May 2014	08:18:46	60        	3         	302       	564336    
22 May 2014	08:18:55	61        	3         	309       	573518    
22 May 2014	08:19:05	62        	6         	311       	583728    
22 May 2014	08:19:14	63        	3         	317       	592914    
22 May 2014	08:19:24	64        	3         	324       	602036    
22 May 2014	08:19:33	65        	3         	328       	611124    
22 May 2014	08:19:42	66        	3         	334       	620262    
22 May 2014	08:19:51	67        	3         	336       	629434    
22 May 2014	08:20:00	68        	3         	344       	638509    
22 May 2014	08:20:09	69        	2         	349       	647621    
22 May 2014	08:20:18	70        	2         	354       	656805    
22 May 2014	08:20:27	71        	3         	359       	665937    
22 May 2014	08:20:37	72        	2         	364       	675203    
22 May 2014	08:20:46	73        	2         	369       	684769    
22 May 2014	08:20:55	74        	2         	374       	693791    
22 May 2014	08:21:04	75        	3         	379       	702911    
22 May 2014	08:21:14	76        	3         	384       	712128    
22 May 2014	08:21:23	77        	2         	389       	721228    
22 May 2014	08:21:32	78        	3         	394       	730393    
22 May 2014	08:21:41	79        	2         	399       	739545    
22 May 2014	08:21:51	80        	6         	400       	749849    
22 May 2014	08:22:02	81        	7         	405       	760143    
22 May 2014	08:22:11	82        	3         	413       	769346    
22 May 2014	08:22:20	83        	2         	419       	778554    
22 May 2014	08:22:29	84        	2         	424       	787788    
22 May 2014	08:22:39	85        	3         	427       	797460    
22 May 2014	08:22:48	86        	2         	434       	806694    
22 May 2014	08:22:57	87        	3         	438       	815799    
22 May 2014	08:23:06	88        	2         	444       	824575    
22 May 2014	08:23:17	89        	6         	445       	835685    
22 May 2014	08:23:26	90        	3         	452       	844401    
22 May 2014	08:23:35	91        	2         	458       	853302    
22 May 2014	08:23:44	92        	2         	464       	862086    
22 May 2014	08:23:52	93        	2         	469       	870887    
22 May 2014	08:24:01	94        	2         	474       	879732    
22 May 2014	08:24:10	95        	2         	479       	888504    
22 May 2014	08:24:19	96        	2         	484       	897308    
22 May 2014	08:24:28	97        	2         	489       	906109    
22 May 2014	08:24:36	98        	2         	494       	914915    
22 May 2014	08:24:46	99        	2         	499       	924091    
22 May 2014	08:24:54	100       	2         	504       	932877    
22 May 2014	08:25:03	101       	2         	509       	941644    
22 May 2014	08:25:12	102       	2         	514       	950514    
22 May 2014	08:25:21	103       	2         	519       	959291    
22 May 2014	08:25:30	104       	2         	524       	968086    
22 May 2014	08:25:38	105       	2         	529       	976847    
22 May 2014	08:25:48	106       	2         	534       	986183    
22 May 2014	08:25:57	107       	2         	539       	995029    
22 May 2014	08:26:06	108       	2         	544       	1004127   
22 May 2014	08:26:15	109       	2         	549       	1013286   
22 May 2014	08:26:24	110       	2         	554       	1022435   
22 May 2014	08:26:33	111       	2         	559       	1031620   
22 May 2014	08:26:42	112       	2         	564       	1040768   
22 May 2014	08:26:52	113       	2         	569       	1049964   
22 May 2014	08:27:01	114       	2         	574       	1059030   
22 May 2014	08:27:10	115       	2         	579       	1068411   
22 May 2014	08:27:19	116       	3         	582       	1077538   
22 May 2014	08:27:29	117       	5         	588       	1087783   
22 May 2014	08:27:38	118       	2         	594       	1096761   
22 May 2014	08:27:48	119       	2         	598       	1106080   
22 May 2014	08:27:57	120       	2         	604       	1114981   
22 May 2014	08:28:05	121       	2         	609       	1123864   
22 May 2014	08:28:14	122       	2         	614       	1132754   
22 May 2014	08:28:23	123       	2         	619       	1141647   
22 May 2014	08:28:32	124       	2         	624       	1150587   
22 May 2014	08:28:41	125       	2         	629       	1159503   
22 May 2014	08:28:50	126       	2         	633       	1168535   
22 May 2014	08:29:00	127       	6         	639       	1178577   
22 May 2014	08:29:10	128       	7         	640       	1188543   
22 May 2014	08:29:19	129       	3         	648       	1197732   
22 May 2014	08:29:28	130       	3         	652       	1206653   
22 May 2014	08:29:37	131       	3         	657       	1215517   
22 May 2014	08:29:47	132       	3         	661       	1225281   
22 May 2014	08:29:56	133       	3         	666       	1234523   
22 May 2014	08:30:08	134       	14        	672       	1246639   
22 May 2014	08:30:18	135       	6         	676       	1256506   
22 May 2014	08:30:27	136       	2         	684       	1265003   
22 May 2014	08:30:35	137       	2         	689       	1273630   
22 May 2014	08:30:44	138       	2         	694       	1282241   
22 May 2014	08:30:53	139       	2         	698       	1290970   
22 May 2014	08:31:01	140       	2         	704       	1299556   
22 May 2014	08:31:10	141       	2         	709       	1308140   
22 May 2014	08:31:18	142       	2         	713       	1316785   
22 May 2014	08:31:27	143       	2         	719       	1325307   
22 May 2014	08:31:35	144       	3         	724       	1333829   
22 May 2014	08:31:44	145       	2         	729       	1342348   
22 May 2014	08:31:53	146       	2         	734       	1351409   
22 May 2014	08:32:02	147       	2         	739       	1360182   
22 May 2014	08:32:11	148       	2         	744       	1368964   
22 May 2014	08:32:19	149       	2         	749       	1377816   
22 May 2014	08:32:28	150       	2         	754       	1386707   
22 May 2014	08:32:37	151       	2         	759       	1395527   
22 May 2014	08:32:46	152       	3         	764       	1404414   
22 May 2014	08:32:55	153       	3         	766       	1413257   
22 May 2014	08:33:04	154       	3         	773       	1422134   
22 May 2014	08:33:13	155       	2         	779       	1430970   
22 May 2014	08:33:21	156       	3         	783       	1439875   
22 May 2014	08:33:30	157       	2         	789       	1448631   
22 May 2014	08:33:39	158       	2         	794       	1457376   
22 May 2014	08:33:49	159       	2         	799       	1467888   
22 May 2014	08:33:58	160       	3         	802       	1476716   
22 May 2014	08:34:07	161       	2         	809       	1485451   
22 May 2014	08:34:16	162       	3         	813       	1494325   
22 May 2014	08:34:25	163       	2         	819       	1503762   
22 May 2014	08:34:35	164       	3         	824       	1512970   
22 May 2014	08:34:44	165       	3         	825       	1522138   
22 May 2014	08:34:53	166       	3         	833       	1531322   
