28 May 2014	10:41:27		Logging to file ./clientlog//EMClient__000000261.txt
28 May 2014	10:41:27		SETTING	LogServer	True
28 May 2014	10:41:27		SETTING	LogServerPath	./serverlog
28 May 2014	10:41:27		SETTING	LogClient	True
28 May 2014	10:41:27		SETTING	LogClientPath	./clientlog
28 May 2014	10:41:27		SETTING	Server	129.241.102.247
28 May 2014	10:41:27		SETTING	ServerPort	9090
28 May 2014	10:41:27		SETTING	DataAPIServerPort	9091
28 May 2014	10:41:27		SETTING	DataAPIServer	localhost
28 May 2014	10:41:27	Microsoft CLR? YES
28 May 2014	10:41:27	Ping response = 0
28 May 2014	10:41:27	Ping response took 76ms or 186274 ticks
28 May 2014	10:42:06	0         	0.520325203252033	3         	38483     
28 May 2014	10:42:43	1         	0.601503759398496	6         	76182     
28 May 2014	10:43:21	2         	0.509090909090909	8         	113785    
28 May 2014	10:43:59	3         	0.4375    	12        	151375    
28 May 2014	10:44:36	4         	0.661654135338346	17        	189149    
28 May 2014	10:45:14	5         	0.520325203252033	20        	226714    
28 May 2014	10:45:51	6         	0.601503759398496	25        	264299    
28 May 2014	10:46:29	7         	0.711111111111111	28        	301901    
28 May 2014	10:47:07	8         	0.661654135338346	32        	339984    
28 May 2014	10:47:45	9         	0.661654135338346	36        	377754    
28 May 2014	10:48:43	10        	0.77037037037037	41        	435613    
28 May 2014	10:49:20	11        	0.711111111111111	46        	473156    
28 May 2014	10:49:58	12        	0.615384615384615	48        	510690    
28 May 2014	10:50:36	13        	0.509090909090909	54        	548344    
28 May 2014	10:51:13	14        	0.601503759398496	57        	585979    
28 May 2014	10:51:51	15        	0.661654135338346	63        	623649    
28 May 2014	10:52:29	16        	0.711111111111111	67        	661405    
28 May 2014	10:53:06	17        	0.77037037037037	69        	699173    
28 May 2014	10:53:44	18        	0.661654135338346	74        	736827    
28 May 2014	10:54:22	19        	0.711111111111111	76        	774415    
28 May 2014	10:54:59	20        	0.842105263157895	80        	811856    
28 May 2014	10:55:37	21        	0.533333333333333	86        	849369    
28 May 2014	10:56:14	22        	0.661654135338346	89        	886968    
28 May 2014	10:56:52	23        	0.481203007518797	92        	924544    
28 May 2014	10:57:29	24        	0.661654135338346	97        	962214    
28 May 2014	10:58:07	25        	0.426666666666667	103       	1000044   
28 May 2014	10:58:45	26        	0.539325842696629	105       	1038005   
28 May 2014	10:59:23	27        	0.5       	109       	1075468   
28 May 2014	11:00:03	28        	0.661654135338346	115       	1115873   
28 May 2014	11:00:41	29        	0.711111111111111	119       	1153409   
28 May 2014	11:01:21	30        	0.651851851851852	123       	1193935   
28 May 2014	11:01:58	31        	0.661654135338346	126       	1231168   
28 May 2014	11:02:36	32        	0.592592592592593	131       	1268387   
28 May 2014	11:03:13	33        	0.711111111111111	135       	1305534   
28 May 2014	11:03:50	34        	0.549618320610687	139       	1342830   
28 May 2014	11:04:27	35        	0.533333333333333	141       	1380157   
28 May 2014	11:05:05	36        	0.592592592592593	147       	1417554   
28 May 2014	11:05:42	37        	0.77037037037037	148       	1454786   
28 May 2014	11:06:11	38        	0.426666666666667	154       	1483949   
28 May 2014	11:06:49	39        	0.533333333333333	158       	1521350   
28 May 2014	11:07:18	40        	0.625     	161       	1550451   
28 May 2014	11:07:55	41        	0.533333333333333	166       	1587981   
28 May 2014	11:08:32	42        	0.414814814814815	169       	1625290   
28 May 2014	11:09:10	43        	0.77037037037037	173       	1662582   
28 May 2014	11:09:47	44        	0.481203007518797	178       	1699914   
28 May 2014	11:10:24	45        	0.661654135338346	181       	1737117   
28 May 2014	11:11:01	46        	0.533333333333333	187       	1774319   
28 May 2014	11:11:39	47        	0.711111111111111	188       	1811596   
28 May 2014	11:12:16	48        	0.4375    	193       	1849023   
28 May 2014	11:12:55	49        	0.633663366336634	197       	1887530   
28 May 2014	11:13:33	50        	0.711111111111111	203       	1925966   
28 May 2014	11:14:11	51        	0.711111111111111	205       	1963496   
28 May 2014	11:14:49	52        	0.711111111111111	211       	2001931   
28 May 2014	11:15:27	53        	0.661654135338346	212       	2039994   
28 May 2014	11:16:05	54        	0.661654135338346	218       	2077939   
28 May 2014	11:16:44	55        	0.661654135338346	221       	2116371   
28 May 2014	11:17:20	56        	0.661654135338346	225       	2153201   
28 May 2014	11:17:57	57        	0.661654135338346	228       	2189926   
28 May 2014	11:18:34	58        	0.711111111111111	234       	2226946   
28 May 2014	11:19:11	59        	0.426666666666667	239       	2263885   
28 May 2014	11:19:49	60        	0.533333333333333	243       	2301585   
28 May 2014	11:20:26	61        	0.509090909090909	247       	2339293   
28 May 2014	11:21:04	62        	0.549618320610687	250       	2376537   
28 May 2014	11:21:41	63        	0.77037037037037	253       	2414122   
28 May 2014	11:22:11	64        	0.711111111111111	257       	2443502   
28 May 2014	11:22:48	65        	0.533333333333333	260       	2481209   
28 May 2014	11:23:18	66        	0.661654135338346	266       	2510480   
28 May 2014	11:23:55	67        	0.661654135338346	270       	2548051   
28 May 2014	11:24:33	68        	0.661654135338346	272       	2585850   
28 May 2014	11:25:02	69        	0.481203007518797	279       	2615192   
28 May 2014	11:25:40	70        	0.661654135338346	283       	2652754   
28 May 2014	11:26:17	71        	0.661654135338346	285       	2690282   
28 May 2014	11:26:55	72        	0.533333333333333	288       	2728167   
28 May 2014	11:27:33	73        	0.661654135338346	295       	2765682   
28 May 2014	11:28:10	74        	0.711111111111111	296       	2803196   
