21 May 2014	18:31:45		Logging to file ./clientlog//EMClient__000000104.txt
21 May 2014	18:31:45		SETTING	LogServer	True
21 May 2014	18:31:45		SETTING	LogServerPath	./serverlog
21 May 2014	18:31:45		SETTING	LogClient	True
21 May 2014	18:31:45		SETTING	LogClientPath	./clientlog
21 May 2014	18:31:45		SETTING	Server	129.241.102.247
21 May 2014	18:31:45		SETTING	ServerPort	9090
21 May 2014	18:31:45		SETTING	DataAPIServerPort	9091
21 May 2014	18:31:45		SETTING	DataAPIServer	localhost
21 May 2014	18:31:45	Microsoft CLR? YES
21 May 2014	18:31:46	Ping response = 0
21 May 2014	18:31:46	Ping response took 127ms or 309570 ticks
21 May 2014	18:31:55	0         	2         	4         	9458      
21 May 2014	18:32:04	1         	2         	9         	18006     
21 May 2014	18:32:12	2         	2         	14        	26654     
21 May 2014	18:32:21	3         	2         	19        	35188     
21 May 2014	18:32:29	4         	2         	24        	43761     
21 May 2014	18:32:38	5         	3         	28        	52400     
21 May 2014	18:32:47	6         	2         	34        	61063     
21 May 2014	18:32:56	7         	2         	39        	69874     
21 May 2014	18:33:04	8         	3         	44        	78792     
21 May 2014	18:33:13	9         	3         	48        	87740     
21 May 2014	18:33:22	10        	3         	50        	96642     
21 May 2014	18:33:31	11        	2         	59        	105483    
21 May 2014	18:33:40	12        	3         	61        	114314    
21 May 2014	18:33:49	13        	3         	68        	123210    
21 May 2014	18:33:58	14        	3         	73        	132547    
21 May 2014	18:34:07	15        	3         	79        	141488    
21 May 2014	18:34:16	16        	3         	81        	150374    
21 May 2014	18:34:25	17        	3         	88        	159275    
21 May 2014	18:34:34	18        	3         	91        	168307    
21 May 2014	18:34:43	19        	2         	99        	177158    
21 May 2014	18:34:52	20        	2         	104       	186059    
21 May 2014	18:35:01	21        	3         	106       	194956    
21 May 2014	18:35:10	22        	3         	114       	203855    
21 May 2014	18:35:18	23        	3         	119       	212696    
21 May 2014	18:35:27	24        	3         	124       	221580    
21 May 2014	18:35:36	25        	3         	128       	230372    
21 May 2014	18:35:46	26        	6         	130       	240300    
21 May 2014	18:35:55	27        	2         	139       	249173    
21 May 2014	18:36:04	28        	2         	144       	258450    
21 May 2014	18:36:13	29        	3         	149       	267312    
21 May 2014	18:36:22	30        	2         	154       	276194    
21 May 2014	18:36:31	31        	3         	157       	285149    
21 May 2014	18:36:40	32        	2         	164       	294175    
21 May 2014	18:36:49	33        	2         	169       	303061    
21 May 2014	18:36:58	34        	2         	173       	311834    
21 May 2014	18:37:06	35        	2         	179       	320785    
21 May 2014	18:37:15	36        	2         	184       	329744    
21 May 2014	18:37:24	37        	2         	188       	338708    
21 May 2014	18:37:33	38        	3         	192       	347593    
21 May 2014	18:37:44	39        	7         	196       	358486    
21 May 2014	18:37:53	40        	2         	202       	367416    
21 May 2014	18:38:04	41        	6         	209       	377890    
21 May 2014	18:38:13	42        	3         	214       	386873    
21 May 2014	18:38:21	43        	2         	218       	395795    
21 May 2014	18:38:30	44        	3         	224       	404806    
21 May 2014	18:38:39	45        	2         	229       	413655    
21 May 2014	18:38:48	46        	2         	234       	422239    
21 May 2014	18:38:56	47        	2         	239       	430770    
21 May 2014	18:39:05	48        	2         	244       	439262    
21 May 2014	18:39:13	49        	3         	248       	447766    
21 May 2014	18:39:23	50        	7         	251       	457363    
21 May 2014	18:39:33	51        	7         	257       	466896    
21 May 2014	18:39:41	52        	2         	264       	475601    
21 May 2014	18:39:50	53        	3         	267       	484195    
21 May 2014	18:40:00	54        	7         	274       	494443    
21 May 2014	18:40:10	55        	5         	275       	504245    
21 May 2014	18:40:20	56        	6         	282       	514013    
21 May 2014	18:40:28	57        	3         	286       	522575    
21 May 2014	18:40:37	58        	3         	291       	530990    
21 May 2014	18:40:45	59        	3         	297       	539374    
21 May 2014	18:40:53	60        	2         	304       	547735    
21 May 2014	18:41:02	61        	2         	309       	556168    
21 May 2014	18:41:10	62        	2         	314       	564321    
21 May 2014	18:41:18	63        	2         	319       	572547    
21 May 2014	18:41:27	64        	2         	324       	581460    
21 May 2014	18:41:36	65        	2         	329       	590332    
21 May 2014	18:41:45	66        	3         	334       	599328    
21 May 2014	18:41:54	67        	3         	339       	608282    
21 May 2014	18:42:04	68        	3         	343       	617861    
21 May 2014	18:42:12	69        	3         	348       	626419    
21 May 2014	18:42:21	70        	3         	350       	634967    
21 May 2014	18:42:30	71        	6         	357       	644626    
21 May 2014	18:42:39	72        	2         	364       	653365    
21 May 2014	18:42:48	73        	3         	367       	662294    
21 May 2014	18:42:57	74        	2         	374       	671804    
21 May 2014	18:43:07	75        	3         	376       	681063    
21 May 2014	18:43:16	76        	3         	382       	690091    
21 May 2014	18:43:25	77        	3         	389       	699243    
21 May 2014	18:43:34	78        	2         	394       	708579    
21 May 2014	18:43:43	79        	2         	399       	717717    
21 May 2014	18:43:52	80        	3         	404       	726754    
21 May 2014	18:44:01	81        	2         	409       	735814    
21 May 2014	18:44:10	82        	2         	412       	744344    
21 May 2014	18:44:18	83        	3         	416       	752726    
