27 May 2014	10:00:48		Logging to file ./clientlog//EMClient__000000204.txt
27 May 2014	10:00:48		SETTING	LogServer	True
27 May 2014	10:00:48		SETTING	LogServerPath	./serverlog
27 May 2014	10:00:48		SETTING	LogClient	True
27 May 2014	10:00:48		SETTING	LogClientPath	./clientlog
27 May 2014	10:00:48		SETTING	Server	129.241.102.247
27 May 2014	10:00:48		SETTING	ServerPort	9090
27 May 2014	10:00:48		SETTING	DataAPIServerPort	9091
27 May 2014	10:00:48		SETTING	DataAPIServer	localhost
27 May 2014	10:00:48	Microsoft CLR? YES
27 May 2014	10:00:48	Ping response = 0
27 May 2014	10:00:48	Ping response took 71ms or 173758 ticks
27 May 2014	10:01:18	0         	0.583333333333333	4         	29142     
27 May 2014	10:01:53	1         	0.618556701030928	7         	64489     
27 May 2014	10:02:28	2         	0.666666666666667	14        	99101     
27 May 2014	10:03:02	3         	0.583333333333333	19        	133746    
27 May 2014	10:03:37	4         	0.666666666666667	22        	168520    
27 May 2014	10:04:12	5         	0.618556701030928	27        	203835    
27 May 2014	10:04:47	6         	0.666666666666667	34        	238692    
27 May 2014	10:05:22	7         	0.666666666666667	35        	273534    
27 May 2014	10:05:57	8         	0.666666666666667	43        	308758    
27 May 2014	10:06:32	9         	0.583333333333333	49        	343537    
27 May 2014	10:07:07	10        	0.618556701030928	53        	378706    
27 May 2014	10:07:42	11        	0.583333333333333	59        	413215    
27 May 2014	10:08:27	12        	0.583333333333333	64        	458196    
27 May 2014	10:09:28	13        	0.666666666666667	69        	519173    
27 May 2014	10:10:03	14        	0.618556701030928	71        	554641    
27 May 2014	10:10:38	15        	0.583333333333333	79        	589315    
27 May 2014	10:11:13	16        	0.666666666666667	83        	624137    
27 May 2014	10:11:47	17        	0.666666666666667	88        	658886    
27 May 2014	10:12:23	18        	0.618556701030928	91        	694409    
27 May 2014	10:12:58	19        	0.666666666666667	96        	729286    
27 May 2014	10:13:32	20        	0.583333333333333	104       	763802    
27 May 2014	10:14:07	21        	0.618556701030928	106       	798901    
27 May 2014	10:14:42	22        	0.583333333333333	114       	833613    
27 May 2014	10:15:17	23        	0.618556701030928	115       	868180    
27 May 2014	10:15:51	24        	0.583333333333333	124       	902822    
27 May 2014	10:16:26	25        	0.583333333333333	129       	937955    
27 May 2014	10:17:01	26        	0.583333333333333	133       	972524    
27 May 2014	10:17:35	27        	0.666666666666667	136       	1007036   
27 May 2014	10:18:12	28        	0.666666666666667	144       	1043373   
