23 May 2014	21:12:19		Logging to file ./clientlog//EMClient__000000179.txt
23 May 2014	21:12:19		SETTING	LogServer	True
23 May 2014	21:12:19		SETTING	LogServerPath	./serverlog
23 May 2014	21:12:19		SETTING	LogClient	True
23 May 2014	21:12:19		SETTING	LogClientPath	./clientlog
23 May 2014	21:12:19		SETTING	Server	129.241.102.247
23 May 2014	21:12:19		SETTING	ServerPort	9090
23 May 2014	21:12:19		SETTING	DataAPIServerPort	9091
23 May 2014	21:12:19		SETTING	DataAPIServer	localhost
23 May 2014	21:12:19	Microsoft CLR? YES
23 May 2014	21:12:19	Ping response = 0
23 May 2014	21:12:19	Ping response took 70ms or 171227 ticks
23 May 2014	21:13:00	0         	12        	4         	41178     
23 May 2014	21:13:42	1         	12        	9         	82710     
23 May 2014	21:14:24	2         	12        	14        	124384    
23 May 2014	21:15:05	3         	12        	19        	165853    
23 May 2014	21:15:47	4         	12        	24        	207836    
23 May 2014	21:16:28	5         	12        	29        	248763    
23 May 2014	21:17:09	6         	12        	34        	290113    
23 May 2014	21:17:51	7         	12        	39        	331667    
23 May 2014	21:18:32	8         	12        	44        	373114    
23 May 2014	21:19:13	9         	12        	49        	414054    
23 May 2014	21:19:54	10        	12        	54        	454996    
23 May 2014	21:20:37	11        	12        	59        	497563    
23 May 2014	21:21:18	12        	12        	64        	538598    
23 May 2014	21:22:01	13        	12        	69        	581492    
23 May 2014	21:22:43	14        	12        	74        	623569    
23 May 2014	21:23:24	15        	12        	79        	664479    
23 May 2014	21:24:05	16        	12        	84        	705390    
23 May 2014	21:24:47	17        	12        	89        	747319    
23 May 2014	21:25:28	18        	12        	94        	788379    
23 May 2014	21:26:09	19        	12        	99        	829749    
23 May 2014	21:26:50	20        	12        	104       	870538    
23 May 2014	21:27:33	21        	12        	109       	913915    
23 May 2014	21:28:16	22        	16        	112       	956504    
23 May 2014	21:28:57	23        	16        	119       	997793    
23 May 2014	21:29:38	24        	16        	124       	1039257   
23 May 2014	21:30:19	25        	16        	129       	1080169   
23 May 2014	21:31:01	26        	16        	134       	1121301   
23 May 2014	21:31:42	27        	16        	139       	1162967   
23 May 2014	21:32:23	28        	16        	144       	1204050   
23 May 2014	21:33:04	29        	16        	149       	1245009   
23 May 2014	21:33:48	30        	16        	154       	1288596   
23 May 2014	21:34:29	31        	16        	159       	1329680   
23 May 2014	21:35:11	32        	16        	164       	1372093   
23 May 2014	21:35:53	33        	16        	169       	1413980   
23 May 2014	21:36:34	34        	16        	174       	1454893   
23 May 2014	21:37:15	35        	16        	179       	1495592   
23 May 2014	21:37:56	36        	16        	184       	1536829   
23 May 2014	21:38:37	37        	16        	189       	1578174   
23 May 2014	21:39:19	38        	16        	194       	1619476   
23 May 2014	21:40:00	39        	16        	199       	1660537   
23 May 2014	21:40:41	40        	16        	204       	1701498   
23 May 2014	21:41:22	41        	16        	209       	1742922   
23 May 2014	21:42:04	42        	16        	214       	1784575   
23 May 2014	21:42:45	43        	16        	219       	1825575   
23 May 2014	21:43:26	44        	16        	224       	1866430   
23 May 2014	21:44:07	45        	16        	228       	1908040   
23 May 2014	21:44:48	46        	16        	234       	1948929   
23 May 2014	21:45:29	47        	16        	239       	1989852   
23 May 2014	21:46:10	48        	16        	244       	2031230   
23 May 2014	21:46:52	49        	16        	249       	2072608   
23 May 2014	21:47:35	50        	16        	254       	2115580   
23 May 2014	21:48:16	51        	16        	259       	2156382   
23 May 2014	21:48:57	52        	16        	264       	2197580   
23 May 2014	21:49:42	53        	16        	269       	2242878   
23 May 2014	21:50:26	54        	16        	274       	2287216   
23 May 2014	21:51:08	55        	16        	279       	2329061   
23 May 2014	21:51:51	56        	16        	284       	2371526   
23 May 2014	21:52:32	57        	16        	289       	2412328   
23 May 2014	21:53:12	58        	16        	294       	2453172   
23 May 2014	21:53:54	59        	16        	299       	2494793   
23 May 2014	21:54:36	60        	16        	304       	2537188   
23 May 2014	21:55:17	61        	16        	309       	2578189   
23 May 2014	21:55:59	62        	16        	314       	2620230   
23 May 2014	21:56:42	63        	16        	319       	2663048   
23 May 2014	21:57:24	64        	16        	324       	2704780   
23 May 2014	21:58:06	65        	16        	329       	2746388   
23 May 2014	21:58:46	66        	16        	334       	2787280   
23 May 2014	21:59:29	67        	16        	339       	2829586   
23 May 2014	22:00:12	68        	16        	344       	2873073   
23 May 2014	22:00:53	69        	16        	349       	2914129   
23 May 2014	22:01:34	70        	16        	354       	2955181   
23 May 2014	22:02:16	71        	16        	359       	2996597   
23 May 2014	22:02:57	72        	16        	364       	3037508   
23 May 2014	22:03:37	73        	16        	369       	3078260   
23 May 2014	22:04:19	74        	16        	374       	3119718   
23 May 2014	22:05:00	75        	16        	379       	3161244   
23 May 2014	22:05:41	76        	16        	384       	3202192   
23 May 2014	22:06:22	77        	16        	389       	3242851   
23 May 2014	22:07:03	78        	16        	394       	3284015   
23 May 2014	22:07:44	79        	16        	399       	3324889   
23 May 2014	22:08:37	80        	16        	404       	3377339   
23 May 2014	22:09:29	81        	16        	409       	3429601   
23 May 2014	22:10:10	82        	16        	414       	3471110   
23 May 2014	22:10:54	83        	16        	419       	3514830   
23 May 2014	22:11:36	84        	16        	424       	3557194   
23 May 2014	22:12:19	85        	16        	429       	3599845   
23 May 2014	22:13:00	86        	16        	434       	3640974   
23 May 2014	22:13:41	87        	16        	439       	3682150   
23 May 2014	22:14:22	88        	16        	444       	3723130   
