21 May 2014	16:33:13		Logging to file ./clientlog//EMClient__000000088.txt
21 May 2014	16:33:13		SETTING	LogServer	True
21 May 2014	16:33:13		SETTING	LogServerPath	./serverlog
21 May 2014	16:33:13		SETTING	LogClient	True
21 May 2014	16:33:13		SETTING	LogClientPath	./clientlog
21 May 2014	16:33:13		SETTING	Server	129.241.102.247
21 May 2014	16:33:13		SETTING	ServerPort	9090
21 May 2014	16:33:13		SETTING	DataAPIServerPort	9091
21 May 2014	16:33:13		SETTING	DataAPIServer	localhost
21 May 2014	16:33:13	Microsoft CLR? YES
21 May 2014	16:33:14	Ping response = 0
21 May 2014	16:33:14	Ping response took 80ms or 196219 ticks
21 May 2014	16:33:23	0         	2         	4         	9253      
21 May 2014	16:33:31	1         	3         	9         	17448     
21 May 2014	16:33:40	2         	6         	12        	26619     
21 May 2014	16:33:48	3         	3         	18        	34620     
21 May 2014	16:33:57	4         	7         	24        	43781     
21 May 2014	16:34:06	5         	3         	28        	51979     
21 May 2014	16:34:14	6         	3         	33        	60037     
21 May 2014	16:34:24	7         	10        	35        	70180     
21 May 2014	16:34:33	8         	7         	40        	79328     
21 May 2014	16:34:42	9         	6         	46        	88536     
21 May 2014	16:34:50	10        	3         	53        	96654     
21 May 2014	16:34:58	11        	3         	59        	104845    
21 May 2014	16:35:07	12        	2         	64        	113028    
21 May 2014	16:35:15	13        	3         	67        	121090    
21 May 2014	16:35:24	14        	7         	72        	130248    
21 May 2014	16:35:33	15        	3         	79        	139256    
21 May 2014	16:35:42	16        	6         	84        	148740    
21 May 2014	16:35:53	17        	6         	85        	158995    
21 May 2014	16:36:01	18        	3         	93        	167192    
21 May 2014	16:36:10	19        	7         	96        	176372    
21 May 2014	16:36:20	20        	7         	102       	186478    
21 May 2014	16:36:28	21        	3         	109       	194680    
21 May 2014	16:36:37	22        	7         	110       	203839    
21 May 2014	16:36:46	23        	3         	119       	211964    
21 May 2014	16:36:56	24        	11        	123       	222153    
21 May 2014	16:37:05	25        	7         	125       	231273    
21 May 2014	16:37:13	26        	3         	133       	239456    
21 May 2014	16:37:24	27        	7         	136       	250700    
21 May 2014	16:37:34	28        	7         	140       	260386    
21 May 2014	16:37:43	29        	6         	148       	269640    
21 May 2014	16:37:51	30        	3         	152       	277819    
21 May 2014	16:38:00	31        	3         	159       	286083    
21 May 2014	16:38:09	32        	6         	163       	295359    
21 May 2014	16:38:19	33        	11        	167       	305565    
21 May 2014	16:38:33	34        	14        	171       	319893    
21 May 2014	16:38:44	35        	6         	178       	330142    
21 May 2014	16:38:53	36        	7         	183       	339366    
21 May 2014	16:39:02	37        	5         	189       	348626    
21 May 2014	16:39:11	38        	3         	192       	356907    
21 May 2014	16:39:21	39        	7         	196       	367128    
21 May 2014	16:39:31	40        	11        	202       	377763    
21 May 2014	16:39:44	41        	14        	208       	389996    
21 May 2014	16:39:56	42        	12        	212       	402225    
21 May 2014	16:40:06	43        	7         	216       	412467    
21 May 2014	16:40:14	44        	3         	223       	420476    
21 May 2014	16:40:26	45        	14        	226       	432676    
21 May 2014	16:40:34	46        	3         	233       	440837    
21 May 2014	16:40:43	47        	2         	239       	449006    
21 May 2014	16:40:51	48        	3         	242       	457249    
21 May 2014	16:40:59	49        	3         	249       	465468    
21 May 2014	16:41:07	50        	3         	251       	473658    
21 May 2014	16:41:16	51        	7         	255       	482846    
21 May 2014	16:41:27	52        	10        	264       	492943    
21 May 2014	16:41:35	53        	3         	268       	501202    
21 May 2014	16:41:43	54        	3         	274       	508984    
21 May 2014	16:41:50	55        	3         	279       	516899    
21 May 2014	16:41:59	56        	7         	280       	525723    
21 May 2014	16:42:10	57        	7         	286       	536554    
21 May 2014	16:42:19	58        	7         	290       	545410    
21 May 2014	16:42:29	59        	7         	296       	555167    
21 May 2014	16:42:39	60        	10        	304       	565789    
21 May 2014	16:42:47	61        	3         	309       	573557    
21 May 2014	16:42:59	62        	15        	311       	585418    
21 May 2014	16:43:07	63        	3         	319       	593221    
21 May 2014	16:43:16	64        	6         	324       	602109    
21 May 2014	16:43:29	65        	14        	328       	614962    
21 May 2014	16:43:39	66        	6         	331       	624998    
21 May 2014	16:43:46	67        	3         	339       	632855    
21 May 2014	16:43:58	68        	15        	343       	644621    
21 May 2014	16:44:07	69        	5         	349       	653481    
21 May 2014	16:44:16	70        	6         	354       	662351    
21 May 2014	16:44:24	71        	3         	359       	670210    
21 May 2014	16:44:32	72        	3         	364       	678109    
21 May 2014	16:44:40	73        	7         	365       	686897    
21 May 2014	16:44:49	74        	5         	370       	695687    
21 May 2014	16:44:59	75        	11        	375       	705429    
21 May 2014	16:45:08	76        	6         	383       	714324    
21 May 2014	16:45:17	77        	7         	386       	723250    
21 May 2014	16:45:27	78        	7         	393       	733140    
21 May 2014	16:45:39	79        	11        	396       	745345    
21 May 2014	16:45:49	80        	7         	401       	755270    
21 May 2014	16:45:58	81        	7         	409       	764202    
21 May 2014	16:46:07	82        	7         	413       	773034    
21 May 2014	16:46:20	83        	19        	417       	785972    
21 May 2014	16:46:30	84        	10        	422       	796872    
21 May 2014	16:46:39	85        	7         	429       	805680    
21 May 2014	16:46:48	86        	7         	434       	814553    
21 May 2014	16:46:59	87        	14        	436       	825494    
21 May 2014	16:47:07	88        	3         	443       	833315    
21 May 2014	16:47:15	89        	3         	449       	841449    
21 May 2014	16:47:27	90        	10        	453       	853769    
21 May 2014	16:47:38	91        	10        	459       	864236    
21 May 2014	16:47:47	92        	7         	460       	873091    
21 May 2014	16:47:57	93        	11        	468       	882968    
21 May 2014	16:48:06	94        	11        	474       	892667    
21 May 2014	16:48:15	95        	7         	475       	901538    
21 May 2014	16:48:24	96        	5         	480       	910445    
21 May 2014	16:48:33	97        	6         	486       	919280    
21 May 2014	16:48:41	98        	3         	493       	927117    
21 May 2014	16:48:49	99        	3         	499       	935033    
21 May 2014	16:48:57	100       	3         	504       	942905    
21 May 2014	16:49:04	101       	3         	507       	950825    
21 May 2014	16:49:13	102       	3         	514       	959120    
21 May 2014	16:49:22	103       	6         	518       	968623    
21 May 2014	16:49:35	104       	15        	521       	981804    
21 May 2014	16:49:45	105       	6         	528       	990928    
21 May 2014	16:49:55	106       	10        	533       	1000993   
21 May 2014	16:50:04	107       	6         	537       	1010134   
21 May 2014	16:50:12	108       	3         	543       	1018324   
21 May 2014	16:50:20	109       	2         	549       	1026456   
21 May 2014	16:50:29	110       	5         	551       	1035541   
21 May 2014	16:50:39	111       	7         	559       	1045604   
21 May 2014	16:50:49	112       	9         	563       	1055730   
21 May 2014	16:51:00	113       	11        	567       	1066874   
21 May 2014	16:51:12	114       	11        	574       	1078836   
21 May 2014	16:51:20	115       	3         	578       	1086876   
21 May 2014	16:51:29	116       	2         	583       	1095023   
21 May 2014	16:51:37	117       	3         	589       	1103156   
21 May 2014	16:51:48	118       	10        	590       	1114257   
21 May 2014	16:51:58	119       	7         	597       	1124381   
21 May 2014	16:52:08	120       	7         	604       	1134471   
21 May 2014	16:52:17	121       	7         	605       	1143531   
21 May 2014	16:52:25	122       	3         	612       	1151611   
21 May 2014	16:52:33	123       	3         	619       	1159786   
21 May 2014	16:52:45	124       	10        	624       	1171010   
21 May 2014	16:52:57	125       	15        	625       	1183207   
21 May 2014	16:53:10	126       	14        	633       	1196433   
21 May 2014	16:53:18	127       	3         	638       	1204554   
21 May 2014	16:53:27	128       	7         	641       	1213651   
21 May 2014	16:53:36	129       	5         	648       	1222780   
21 May 2014	16:53:45	130       	5         	650       	1231891   
