22 May 2014	12:46:21		Logging to file ./clientlog//EMClient__000000134.txt
22 May 2014	12:46:21		SETTING	LogServer	True
22 May 2014	12:46:21		SETTING	LogServerPath	./serverlog
22 May 2014	12:46:21		SETTING	LogClient	True
22 May 2014	12:46:21		SETTING	LogClientPath	./clientlog
22 May 2014	12:46:21		SETTING	Server	129.241.102.247
22 May 2014	12:46:21		SETTING	ServerPort	9090
22 May 2014	12:46:21		SETTING	DataAPIServerPort	9091
22 May 2014	12:46:21		SETTING	DataAPIServer	localhost
22 May 2014	12:46:21	Microsoft CLR? YES
22 May 2014	12:46:21	Ping response = 0
22 May 2014	12:46:21	Ping response took 69ms or 169450 ticks
22 May 2014	12:46:30	0         	2         	4         	9259      
22 May 2014	12:46:40	1         	2         	9         	18931     
22 May 2014	12:46:49	2         	2         	14        	27729     
22 May 2014	12:46:57	3         	2         	19        	36323     
22 May 2014	12:47:06	4         	2         	24        	45080     
22 May 2014	12:47:15	5         	2         	29        	53686     
22 May 2014	12:47:23	6         	2         	34        	62303     
22 May 2014	12:47:32	7         	2         	39        	70907     
22 May 2014	12:47:41	8         	2         	44        	79523     
22 May 2014	12:47:49	9         	2         	49        	88254     
22 May 2014	12:47:58	10        	2         	54        	96872     
22 May 2014	12:48:07	11        	2         	59        	105545    
22 May 2014	12:48:15	12        	2         	64        	114116    
22 May 2014	12:48:24	13        	2         	69        	122695    
22 May 2014	12:48:33	14        	2         	74        	131488    
22 May 2014	12:48:42	15        	2         	79        	140786    
22 May 2014	12:48:51	16        	2         	84        	149498    
22 May 2014	12:48:59	17        	2         	89        	158108    
22 May 2014	12:49:08	18        	2         	94        	166708    
22 May 2014	12:49:17	19        	2         	99        	175351    
22 May 2014	12:49:25	20        	2         	104       	183947    
22 May 2014	12:49:34	21        	2         	109       	192548    
22 May 2014	12:49:42	22        	2         	114       	201273    
22 May 2014	12:49:51	23        	2         	119       	209960    
22 May 2014	12:50:00	24        	2         	124       	218649    
22 May 2014	12:50:09	25        	2         	129       	227612    
22 May 2014	12:50:18	26        	2         	134       	236570    
22 May 2014	12:50:27	27        	2         	139       	245533    
22 May 2014	12:50:36	28        	2         	144       	254628    
22 May 2014	12:50:45	29        	2         	149       	263579    
22 May 2014	12:50:54	30        	2         	154       	272596    
22 May 2014	12:51:03	31        	2         	159       	281503    
22 May 2014	12:51:12	32        	2         	164       	290485    
22 May 2014	12:51:21	33        	2         	169       	299443    
22 May 2014	12:51:30	34        	2         	174       	308416    
22 May 2014	12:51:39	35        	2         	179       	317411    
22 May 2014	12:51:48	36        	2         	184       	326723    
22 May 2014	12:51:57	37        	2         	189       	335711    
22 May 2014	12:52:06	38        	2         	194       	344667    
22 May 2014	12:52:15	39        	2         	199       	353628    
22 May 2014	12:52:24	40        	2         	204       	362655    
22 May 2014	12:52:33	41        	2         	209       	371752    
22 May 2014	12:52:42	42        	2         	214       	380833    
22 May 2014	12:52:52	43        	2         	219       	390389    
22 May 2014	12:53:01	44        	2         	224       	399560    
22 May 2014	12:53:10	45        	2         	229       	408582    
22 May 2014	12:53:19	46        	2         	234       	417532    
22 May 2014	12:53:28	47        	2         	239       	426523    
22 May 2014	12:53:36	48        	2         	244       	435277    
22 May 2014	12:53:46	49        	2         	249       	444702    
22 May 2014	12:53:55	50        	2         	254       	453426    
22 May 2014	12:54:03	51        	2         	259       	462132    
22 May 2014	12:54:12	52        	2         	264       	470843    
22 May 2014	12:54:21	53        	2         	269       	479456    
22 May 2014	12:54:29	54        	2         	274       	488175    
22 May 2014	12:54:38	55        	2         	279       	496869    
22 May 2014	12:54:47	56        	2         	284       	505564    
22 May 2014	12:54:55	57        	2         	289       	514235    
22 May 2014	12:55:04	58        	2         	294       	522950    
22 May 2014	12:55:13	59        	2         	299       	531636    
22 May 2014	12:55:22	60        	2         	304       	540389    
22 May 2014	12:55:30	61        	2         	309       	549029    
22 May 2014	12:55:39	62        	2         	314       	557699    
22 May 2014	12:55:48	63        	2         	319       	566872    
22 May 2014	12:55:57	64        	2         	324       	575611    
22 May 2014	12:56:05	65        	2         	329       	584245    
22 May 2014	12:56:14	66        	2         	334       	592916    
22 May 2014	12:56:23	67        	2         	339       	601585    
22 May 2014	12:56:32	68        	2         	344       	610372    
22 May 2014	12:56:40	69        	2         	349       	619039    
22 May 2014	12:56:49	70        	2         	354       	627781    
22 May 2014	12:56:58	71        	2         	359       	636460    
22 May 2014	12:57:06	72        	2         	364       	645148    
22 May 2014	12:57:15	73        	2         	369       	653852    
22 May 2014	12:57:24	74        	2         	374       	662520    
22 May 2014	12:57:32	75        	2         	379       	671216    
22 May 2014	12:57:41	76        	2         	384       	679862    
22 May 2014	12:57:50	77        	2         	389       	689287    
22 May 2014	12:57:59	78        	2         	394       	697966    
22 May 2014	12:58:08	79        	2         	399       	706646    
22 May 2014	12:58:17	80        	2         	404       	715519    
22 May 2014	12:58:25	81        	2         	409       	724156    
22 May 2014	12:58:34	82        	2         	414       	732765    
22 May 2014	12:58:43	83        	2         	419       	741420    
22 May 2014	12:58:52	84        	2         	424       	750745    
22 May 2014	12:59:01	85        	2         	429       	759345    
22 May 2014	12:59:09	86        	2         	434       	767982    
22 May 2014	12:59:18	87        	2         	439       	776723    
22 May 2014	12:59:27	88        	2         	444       	785373    
22 May 2014	12:59:35	89        	2         	449       	793748    
22 May 2014	12:59:44	90        	2         	454       	802410    
22 May 2014	12:59:52	91        	2         	459       	811084    
22 May 2014	13:00:01	92        	2         	464       	819760    
22 May 2014	13:00:09	93        	2         	469       	828322    
22 May 2014	13:00:18	94        	2         	474       	836965    
22 May 2014	13:00:27	95        	2         	479       	845622    
22 May 2014	13:00:35	96        	2         	484       	854328    
22 May 2014	13:00:44	97        	2         	489       	863032    
22 May 2014	13:00:53	98        	2         	494       	872306    
22 May 2014	13:01:02	99        	2         	499       	880964    
22 May 2014	13:01:11	100       	2         	504       	889619    
22 May 2014	13:01:19	101       	2         	509       	898304    
22 May 2014	13:01:28	102       	2         	514       	906952    
22 May 2014	13:01:37	103       	2         	519       	915628    
22 May 2014	13:01:45	104       	2         	524       	924310    
22 May 2014	13:01:54	105       	2         	529       	932968    
22 May 2014	13:02:03	106       	2         	534       	941638    
22 May 2014	13:02:11	107       	2         	539       	950295    
22 May 2014	13:02:20	108       	2         	544       	959018    
22 May 2014	13:02:29	109       	2         	549       	967726    
22 May 2014	13:02:38	110       	2         	554       	976408    
22 May 2014	13:02:46	111       	2         	559       	985131    
22 May 2014	13:02:56	112       	2         	564       	995087    
22 May 2014	13:03:05	113       	2         	569       	1003761   
22 May 2014	13:03:14	114       	2         	574       	1012436   
22 May 2014	13:03:22	115       	2         	579       	1021117   
22 May 2014	13:03:31	116       	2         	584       	1029791   
22 May 2014	13:03:40	117       	2         	589       	1038478   
22 May 2014	13:03:48	118       	2         	594       	1047144   
22 May 2014	13:03:57	119       	2         	599       	1055811   
22 May 2014	13:04:06	120       	2         	604       	1064445   
22 May 2014	13:04:14	121       	2         	609       	1073135   
22 May 2014	13:04:23	122       	2         	614       	1081767   
22 May 2014	13:04:32	123       	2         	619       	1090468   
22 May 2014	13:04:40	124       	2         	624       	1099128   
22 May 2014	13:04:50	125       	2         	629       	1108346   
22 May 2014	13:04:58	126       	2         	634       	1117022   
22 May 2014	13:05:07	127       	2         	639       	1125694   
22 May 2014	13:05:16	128       	2         	644       	1134353   
22 May 2014	13:05:24	129       	2         	649       	1143041   
22 May 2014	13:05:33	130       	2         	654       	1151690   
22 May 2014	13:05:42	131       	2         	659       	1160378   
22 May 2014	13:05:50	132       	2         	664       	1169051   
22 May 2014	13:05:59	133       	2         	669       	1177700   
22 May 2014	13:06:08	134       	2         	674       	1186372   
22 May 2014	13:06:16	135       	2         	679       	1195024   
22 May 2014	13:06:25	136       	2         	684       	1203780   
22 May 2014	13:06:34	137       	2         	689       	1212521   
22 May 2014	13:06:42	138       	2         	694       	1221178   
22 May 2014	13:06:52	139       	2         	699       	1230405   
22 May 2014	13:07:00	140       	2         	704       	1239035   
22 May 2014	13:07:09	141       	2         	709       	1247687   
22 May 2014	13:07:17	142       	2         	714       	1256210   
22 May 2014	13:07:26	143       	2         	719       	1264689   
22 May 2014	13:07:34	144       	2         	724       	1273274   
22 May 2014	13:07:43	145       	2         	729       	1281931   
22 May 2014	13:07:52	146       	2         	734       	1290920   
22 May 2014	13:08:01	147       	2         	739       	1299892   
22 May 2014	13:08:10	148       	2         	744       	1308828   
22 May 2014	13:08:19	149       	2         	749       	1317773   
22 May 2014	13:08:28	150       	2         	754       	1326734   
22 May 2014	13:08:37	151       	2         	759       	1335696   
22 May 2014	13:08:45	152       	2         	764       	1344303   
22 May 2014	13:08:55	153       	2         	769       	1353512   
22 May 2014	13:09:03	154       	2         	774       	1362040   
22 May 2014	13:09:12	155       	2         	779       	1370576   
22 May 2014	13:09:20	156       	2         	784       	1379167   
22 May 2014	13:09:29	157       	2         	789       	1387720   
22 May 2014	13:09:38	158       	2         	794       	1396359   
22 May 2014	13:09:46	159       	2         	799       	1404908   
22 May 2014	13:09:55	160       	2         	804       	1413543   
22 May 2014	13:10:03	161       	2         	809       	1422178   
22 May 2014	13:10:12	162       	2         	814       	1430834   
22 May 2014	13:10:21	163       	2         	819       	1439434   
22 May 2014	13:10:29	164       	2         	824       	1448124   
22 May 2014	13:10:38	165       	2         	829       	1457234   
22 May 2014	13:10:47	166       	2         	834       	1465922   
22 May 2014	13:10:56	167       	2         	839       	1475016   
22 May 2014	13:11:05	168       	2         	844       	1483632   
22 May 2014	13:11:13	169       	2         	849       	1492235   
22 May 2014	13:11:22	170       	2         	854       	1500830   
22 May 2014	13:11:31	171       	2         	859       	1509357   
22 May 2014	13:11:39	172       	2         	864       	1518005   
22 May 2014	13:11:48	173       	2         	869       	1526633   
22 May 2014	13:11:57	174       	2         	874       	1535617   
22 May 2014	13:12:06	175       	2         	879       	1544545   
22 May 2014	13:12:15	176       	2         	884       	1553500   
22 May 2014	13:12:24	177       	2         	889       	1562444   
22 May 2014	13:12:33	178       	2         	894       	1571520   
22 May 2014	13:12:42	179       	2         	899       	1580452   
22 May 2014	13:12:51	180       	2         	904       	1589860   
22 May 2014	13:13:00	181       	2         	909       	1598720   
22 May 2014	13:13:08	182       	2         	914       	1607288   
22 May 2014	13:13:17	183       	2         	919       	1615916   
22 May 2014	13:13:26	184       	2         	924       	1624525   
22 May 2014	13:13:34	185       	2         	929       	1633095   
22 May 2014	13:13:43	186       	2         	934       	1641685   
22 May 2014	13:13:51	187       	2         	939       	1650252   
22 May 2014	13:14:00	188       	2         	944       	1658854   
22 May 2014	13:14:09	189       	2         	949       	1667460   
22 May 2014	13:14:17	190       	2         	954       	1676063   
22 May 2014	13:14:26	191       	2         	959       	1684659   
22 May 2014	13:14:34	192       	2         	964       	1693287   
22 May 2014	13:14:43	193       	2         	969       	1701860   
22 May 2014	13:14:52	194       	2         	974       	1710497   
22 May 2014	13:15:00	195       	2         	979       	1719042   
22 May 2014	13:15:09	196       	2         	984       	1727707   
22 May 2014	13:15:17	197       	2         	989       	1736285   
22 May 2014	13:15:26	198       	2         	994       	1744875   
22 May 2014	13:15:35	199       	2         	999       	1753435   
22 May 2014	13:15:43	200       	2         	1004      	1762072   
22 May 2014	13:15:52	201       	2         	1009      	1771032   
22 May 2014	13:16:02	202       	2         	1014      	1780719   
22 May 2014	13:16:11	203       	2         	1019      	1789623   
22 May 2014	13:16:20	204       	2         	1024      	1798567   
22 May 2014	13:16:29	205       	2         	1029      	1807590   
22 May 2014	13:16:38	206       	2         	1034      	1816553   
22 May 2014	13:16:47	207       	2         	1039      	1825509   
22 May 2014	13:16:56	208       	2         	1044      	1834410   
22 May 2014	13:17:04	209       	2         	1049      	1843331   
22 May 2014	13:17:13	210       	2         	1054      	1852288   
22 May 2014	13:17:22	211       	2         	1059      	1861244   
22 May 2014	13:17:31	212       	2         	1064      	1870177   
22 May 2014	13:17:40	213       	2         	1069      	1879147   
22 May 2014	13:17:49	214       	2         	1074      	1888136   
22 May 2014	13:17:59	215       	2         	1079      	1897631   
22 May 2014	13:18:08	216       	2         	1084      	1906544   
22 May 2014	13:18:17	217       	2         	1089      	1915510   
22 May 2014	13:18:26	218       	2         	1094      	1924478   
22 May 2014	13:18:35	219       	2         	1099      	1933433   
22 May 2014	13:18:43	220       	2         	1104      	1942306   
22 May 2014	13:18:52	221       	2         	1109      	1951192   
22 May 2014	13:19:01	222       	2         	1114      	1960123   
22 May 2014	13:19:10	223       	2         	1119      	1968653   
22 May 2014	13:19:18	224       	2         	1124      	1977244   
22 May 2014	13:19:27	225       	2         	1129      	1985878   
22 May 2014	13:19:36	226       	2         	1134      	1994496   
22 May 2014	13:19:44	227       	2         	1139      	2003121   
22 May 2014	13:19:53	228       	2         	1144      	2011754   
22 May 2014	13:20:02	229       	2         	1149      	2020394   
22 May 2014	13:20:11	230       	2         	1154      	2029782   
22 May 2014	13:20:20	231       	2         	1159      	2038345   
22 May 2014	13:20:28	232       	2         	1164      	2046953   
22 May 2014	13:20:37	233       	2         	1169      	2055653   
22 May 2014	13:20:45	234       	2         	1174      	2064245   
22 May 2014	13:20:54	235       	2         	1179      	2072868   
22 May 2014	13:21:03	236       	2         	1184      	2081419   
22 May 2014	13:21:11	237       	2         	1189      	2089984   
22 May 2014	13:21:20	238       	2         	1194      	2098572   
22 May 2014	13:21:28	239       	2         	1199      	2107066   
22 May 2014	13:21:37	240       	2         	1204      	2115687   
22 May 2014	13:21:45	241       	2         	1209      	2124253   
22 May 2014	13:21:54	242       	2         	1214      	2132843   
22 May 2014	13:22:03	243       	2         	1219      	2141391   
22 May 2014	13:22:12	244       	2         	1224      	2150614   
22 May 2014	13:22:20	245       	2         	1229      	2159213   
22 May 2014	13:22:29	246       	2         	1234      	2167814   
22 May 2014	13:22:38	247       	2         	1239      	2176421   
22 May 2014	13:22:46	248       	2         	1244      	2185036   
22 May 2014	13:22:55	249       	2         	1249      	2193614   
22 May 2014	13:23:03	250       	2         	1254      	2202153   
22 May 2014	13:23:12	251       	2         	1259      	2210698   
22 May 2014	13:23:20	252       	2         	1264      	2219317   
22 May 2014	13:23:29	253       	2         	1269      	2227903   
22 May 2014	13:23:38	254       	2         	1274      	2236638   
22 May 2014	13:23:46	255       	2         	1279      	2245322   
22 May 2014	13:23:55	256       	2         	1284      	2253924   
22 May 2014	13:24:04	257       	2         	1289      	2262477   
22 May 2014	13:24:13	258       	2         	1294      	2271579   
22 May 2014	13:24:21	259       	2         	1299      	2280191   
22 May 2014	13:24:30	260       	2         	1304      	2288853   
22 May 2014	13:24:39	261       	2         	1309      	2297640   
22 May 2014	13:24:48	262       	2         	1314      	2306631   
22 May 2014	13:24:57	263       	2         	1319      	2315579   
22 May 2014	13:25:06	264       	2         	1324      	2324426   
22 May 2014	13:25:14	265       	2         	1329      	2333132   
22 May 2014	13:25:23	266       	2         	1334      	2342099   
22 May 2014	13:25:32	267       	2         	1339      	2351032   
22 May 2014	13:25:41	268       	2         	1344      	2360008   
22 May 2014	13:25:50	269       	2         	1349      	2368970   
22 May 2014	13:25:59	270       	2         	1354      	2377906   
22 May 2014	13:26:09	271       	2         	1359      	2387381   
22 May 2014	13:26:18	272       	2         	1364      	2396506   
22 May 2014	13:26:27	273       	2         	1369      	2405456   
