28 May 2014	07:37:08		Logging to file ./clientlog//EMClient__000000240.txt
28 May 2014	07:37:08		SETTING	LogServer	True
28 May 2014	07:37:08		SETTING	LogServerPath	./serverlog
28 May 2014	07:37:08		SETTING	LogClient	True
28 May 2014	07:37:08		SETTING	LogClientPath	./clientlog
28 May 2014	07:37:08		SETTING	Server	129.241.102.247
28 May 2014	07:37:08		SETTING	ServerPort	9090
28 May 2014	07:37:08		SETTING	DataAPIServerPort	9091
28 May 2014	07:37:08		SETTING	DataAPIServer	localhost
28 May 2014	07:37:08	Microsoft CLR? YES
28 May 2014	07:37:08	Ping response = 0
28 May 2014	07:37:08	Ping response took 75ms or 183819 ticks
28 May 2014	07:37:46	0         	0.657142857142857	4         	37919     
28 May 2014	07:38:25	1         	0.657142857142857	9         	76814     
28 May 2014	07:39:06	2         	0.657142857142857	14        	118002    
28 May 2014	07:39:46	3         	0.657142857142857	18        	158151    
28 May 2014	07:40:24	4         	0.661654135338346	21        	195553    
28 May 2014	07:41:01	5         	0.657142857142857	29        	233349    
28 May 2014	07:41:42	6         	0.657142857142857	32        	274120    
28 May 2014	07:42:19	7         	0.657142857142857	39        	311429    
28 May 2014	07:42:58	8         	0.657142857142857	43        	349695    
28 May 2014	07:43:37	9         	0.714285714285714	47        	389138    
28 May 2014	07:44:17	10        	0.657142857142857	53        	429193    
28 May 2014	07:44:55	11        	0.657142857142857	59        	466841    
28 May 2014	07:45:36	12        	0.657142857142857	64        	507838    
28 May 2014	07:46:13	13        	0.657142857142857	69        	545275    
28 May 2014	07:46:53	14        	0.680851063829787	71        	584621    
28 May 2014	07:47:31	15        	0.657142857142857	75        	622487    
28 May 2014	07:48:10	16        	0.657142857142857	80        	661986    
28 May 2014	07:48:47	17        	0.680851063829787	87        	699282    
28 May 2014	07:49:26	18        	0.657142857142857	94        	738207    
28 May 2014	07:50:03	19        	0.75177304964539	99        	775463    
28 May 2014	07:50:41	20        	0.75177304964539	100       	812984    
28 May 2014	07:51:18	21        	0.657142857142857	109       	849889    
28 May 2014	07:51:55	22        	0.75177304964539	113       	887450    
28 May 2014	07:52:33	23        	0.744525547445255	119       	925072    
28 May 2014	07:53:10	24        	0.657142857142857	123       	962392    
28 May 2014	07:53:48	25        	0.744525547445255	126       	1000093   
28 May 2014	07:54:25	26        	0.657142857142857	133       	1037417   
28 May 2014	07:55:03	27        	0.657142857142857	138       	1074880   
28 May 2014	07:55:41	28        	0.657142857142857	144       	1112636   
28 May 2014	07:56:19	29        	0.657142857142857	147       	1150824   
28 May 2014	07:56:57	30        	0.661654135338346	152       	1189369   
28 May 2014	07:57:36	31        	0.657142857142857	158       	1227932   
28 May 2014	07:58:13	32        	0.657142857142857	163       	1265336   
28 May 2014	07:58:51	33        	0.657142857142857	169       	1302671   
28 May 2014	07:59:28	34        	0.75177304964539	174       	1340212   
28 May 2014	08:00:05	35        	0.680851063829787	176       	1377007   
28 May 2014	08:00:42	36        	0.657142857142857	184       	1414018   
28 May 2014	08:04:16	37        	0.714285714285714	187       	1628146   
28 May 2014	08:04:54	38        	0.657142857142857	194       	1665494   
28 May 2014	08:05:31	39        	0.75177304964539	196       	1702934   
28 May 2014	08:06:08	40        	0.657142857142857	204       	1740177   
28 May 2014	08:06:46	41        	0.680851063829787	207       	1778131   
28 May 2014	08:07:24	42        	0.657142857142857	214       	1815822   
28 May 2014	08:08:01	43        	0.661654135338346	215       	1852763   
28 May 2014	08:08:38	44        	0.657142857142857	224       	1889950   
28 May 2014	08:09:16	45        	0.714285714285714	227       	1928068   
28 May 2014	08:09:53	46        	0.657142857142857	233       	1965430   
28 May 2014	08:10:31	47        	0.680851063829787	237       	2002801   
28 May 2014	08:11:11	48        	0.657142857142857	244       	2042707   
28 May 2014	08:11:48	49        	0.680851063829787	249       	2080090   
28 May 2014	08:12:29	50        	0.657142857142857	253       	2120669   
28 May 2014	08:13:07	51        	0.75177304964539	259       	2158856   
28 May 2014	08:13:44	52        	0.780141843971631	261       	2196336   
28 May 2014	08:14:22	53        	0.657142857142857	269       	2234244   
28 May 2014	08:15:00	54        	0.657142857142857	274       	2271521   
28 May 2014	08:15:37	55        	0.657142857142857	279       	2309203   
28 May 2014	08:16:15	56        	0.657142857142857	284       	2346910   
28 May 2014	08:16:53	57        	0.680851063829787	288       	2384862   
28 May 2014	08:17:31	58        	0.657142857142857	294       	2422734   
28 May 2014	08:18:12	59        	0.657142857142857	299       	2464146   
28 May 2014	08:18:50	60        	0.714285714285714	301       	2501481   
28 May 2014	08:19:27	61        	0.75177304964539	306       	2539382   
28 May 2014	08:20:05	62        	0.714285714285714	312       	2577056   
28 May 2014	08:20:43	63        	0.714285714285714	318       	2615314   
28 May 2014	08:21:21	64        	0.657142857142857	324       	2653033   
28 May 2014	08:21:58	65        	0.851063829787234	325       	2690099   
