23 May 2014	08:03:57		Logging to file ./clientlog//EMClient__000000167.txt
23 May 2014	08:03:57		SETTING	LogServer	True
23 May 2014	08:03:57		SETTING	LogServerPath	./serverlog
23 May 2014	08:03:57		SETTING	LogClient	True
23 May 2014	08:03:57		SETTING	LogClientPath	./clientlog
23 May 2014	08:03:57		SETTING	Server	129.241.102.247
23 May 2014	08:03:57		SETTING	ServerPort	9090
23 May 2014	08:03:57		SETTING	DataAPIServerPort	9091
23 May 2014	08:03:57		SETTING	DataAPIServer	localhost
23 May 2014	08:03:57	Microsoft CLR? YES
23 May 2014	08:03:58	Ping response = 0
23 May 2014	08:03:58	Ping response took 70ms or 170976 ticks
23 May 2014	08:04:17	0         	3         	4         	19668     
23 May 2014	08:04:36	1         	3         	9         	38592     
23 May 2014	08:04:55	2         	3         	14        	57779     
23 May 2014	08:05:14	3         	3         	19        	76670     
23 May 2014	08:05:33	4         	3         	24        	95828     
23 May 2014	08:05:52	5         	3         	29        	114811    
23 May 2014	08:06:12	6         	3         	34        	134486    
23 May 2014	08:06:31	7         	3         	39        	153459    
23 May 2014	08:06:50	8         	3         	44        	172489    
23 May 2014	08:07:09	9         	3         	49        	191488    
23 May 2014	08:07:29	10        	3         	54        	211006    
23 May 2014	08:07:48	11        	3         	59        	229885    
23 May 2014	08:08:06	12        	3         	64        	248811    
23 May 2014	08:08:25	13        	3         	69        	267759    
23 May 2014	08:08:44	14        	6         	73        	286333    
23 May 2014	08:09:02	15        	3         	79        	304621    
23 May 2014	08:09:21	16        	3         	84        	323424    
23 May 2014	08:09:39	17        	3         	89        	341830    
23 May 2014	08:09:58	18        	3         	94        	360569    
23 May 2014	08:10:17	19        	3         	99        	379547    
23 May 2014	08:10:36	20        	3         	104       	398551    
23 May 2014	08:10:55	21        	3         	109       	417527    
23 May 2014	08:11:15	22        	3         	114       	437754    
23 May 2014	08:11:34	23        	3         	119       	456854    
23 May 2014	08:11:53	24        	3         	124       	475763    
23 May 2014	08:12:12	25        	3         	129       	494734    
23 May 2014	08:12:31	26        	3         	134       	513725    
23 May 2014	08:12:50	27        	3         	139       	532701    
23 May 2014	08:13:09	28        	3         	144       	551642    
23 May 2014	08:13:30	29        	3         	149       	571966    
23 May 2014	08:13:48	30        	3         	154       	590769    
23 May 2014	08:14:07	31        	3         	159       	609119    
23 May 2014	08:14:25	32        	3         	164       	627469    
23 May 2014	08:14:44	33        	3         	169       	645900    
23 May 2014	08:15:02	34        	3         	174       	664554    
23 May 2014	08:15:21	35        	3         	179       	683813    
23 May 2014	08:15:40	36        	3         	184       	702529    
23 May 2014	08:15:59	37        	3         	189       	721228    
23 May 2014	08:16:18	38        	3         	194       	739951    
23 May 2014	08:16:37	39        	3         	199       	758953    
23 May 2014	08:16:55	40        	3         	204       	777537    
23 May 2014	08:17:14	41        	3         	209       	796165    
23 May 2014	08:17:33	42        	3         	214       	815375    
23 May 2014	08:17:52	43        	3         	219       	833946    
23 May 2014	08:18:10	44        	3         	224       	852258    
23 May 2014	08:18:28	45        	3         	229       	870845    
23 May 2014	08:18:47	46        	3         	234       	889135    
23 May 2014	08:19:05	47        	3         	239       	907407    
23 May 2014	08:19:24	48        	3         	244       	926289    
23 May 2014	08:19:42	49        	3         	249       	944676    
23 May 2014	08:20:01	50        	3         	254       	963278    
23 May 2014	08:20:20	51        	3         	259       	982093    
23 May 2014	08:20:42	52        	6         	263       	1003938   
23 May 2014	08:21:01	53        	6         	267       	1023391   
23 May 2014	08:21:20	54        	6         	274       	1042367   
23 May 2014	08:21:39	55        	6         	279       	1061314   
23 May 2014	08:21:58	56        	6         	284       	1080317   
23 May 2014	08:22:17	57        	6         	289       	1099528   
23 May 2014	08:22:38	58        	6         	294       	1120310   
23 May 2014	08:22:57	59        	6         	299       	1139360   
23 May 2014	08:23:16	60        	6         	304       	1158177   
23 May 2014	08:23:35	61        	6         	309       	1177170   
23 May 2014	08:23:54	62        	6         	314       	1196049   
23 May 2014	08:24:13	63        	6         	319       	1215363   
23 May 2014	08:24:33	64        	6         	324       	1235203   
23 May 2014	08:24:52	65        	6         	329       	1254577   
23 May 2014	08:25:11	66        	3         	334       	1273779   
23 May 2014	08:25:30	67        	3         	339       	1292676   
23 May 2014	08:25:49	68        	3         	344       	1311651   
23 May 2014	08:26:08	69        	3         	349       	1330788   
23 May 2014	08:26:27	70        	3         	354       	1349758   
23 May 2014	08:26:45	71        	3         	359       	1367484   
23 May 2014	08:27:01	72        	3         	364       	1383741   
23 May 2014	08:27:20	73        	3         	369       	1402494   
23 May 2014	08:27:39	74        	3         	374       	1421345   
23 May 2014	08:27:58	75        	3         	379       	1440469   
23 May 2014	08:28:17	76        	3         	384       	1459194   
23 May 2014	08:28:36	77        	3         	389       	1478239   
23 May 2014	08:28:55	78        	3         	394       	1497421   
23 May 2014	08:29:14	79        	3         	399       	1516485   
23 May 2014	08:29:33	80        	3         	404       	1535580   
23 May 2014	08:29:52	81        	5         	409       	1554764   
23 May 2014	08:30:11	82        	5         	414       	1573112   
23 May 2014	08:30:29	83        	5         	418       	1591542   
23 May 2014	08:30:48	84        	5         	424       	1610030   
23 May 2014	08:31:06	85        	5         	429       	1628464   
23 May 2014	08:31:25	86        	5         	434       	1647158   
23 May 2014	08:31:43	87        	6         	439       	1665576   
23 May 2014	08:32:02	88        	5         	444       	1683945   
23 May 2014	08:32:20	89        	5         	449       	1702163   
23 May 2014	08:32:38	90        	5         	454       	1720820   
23 May 2014	08:32:57	91        	5         	459       	1739690   
23 May 2014	08:33:16	92        	5         	464       	1758241   
23 May 2014	08:33:34	93        	5         	469       	1776665   
23 May 2014	08:33:53	94        	5         	474       	1795169   
23 May 2014	08:34:11	95        	5         	479       	1813593   
23 May 2014	08:34:30	96        	5         	484       	1832168   
23 May 2014	08:34:49	97        	5         	488       	1851328   
23 May 2014	08:35:08	98        	5         	494       	1869996   
23 May 2014	08:35:26	99        	5         	499       	1888445   
23 May 2014	08:35:45	100       	5         	504       	1906929   
23 May 2014	08:36:03	101       	5         	509       	1925325   
23 May 2014	08:36:21	102       	5         	514       	1943745   
23 May 2014	08:36:40	103       	5         	519       	1961908   
23 May 2014	08:36:58	104       	5         	524       	1980225   
23 May 2014	08:37:16	105       	5         	529       	1998237   
23 May 2014	08:37:34	106       	5         	534       	2016742   
23 May 2014	08:37:53	107       	5         	539       	2035554   
23 May 2014	08:38:12	108       	5         	544       	2053977   
23 May 2014	08:38:30	109       	5         	549       	2072252   
23 May 2014	08:38:48	110       	5         	554       	2090583   
23 May 2014	08:39:07	111       	5         	559       	2109018   
23 May 2014	08:39:25	112       	5         	564       	2127262   
23 May 2014	08:39:43	113       	6         	567       	2145604   
23 May 2014	08:40:03	114       	6         	574       	2165424   
23 May 2014	08:40:22	115       	6         	579       	2184029   
23 May 2014	08:40:40	116       	6         	584       	2202414   
23 May 2014	08:40:59	117       	6         	587       	2221397   
23 May 2014	08:41:18	118       	6         	590       	2239904   
23 May 2014	08:41:36	119       	6         	599       	2258127   
23 May 2014	08:41:54	120       	6         	604       	2276389   
23 May 2014	08:42:12	121       	6         	609       	2294710   
23 May 2014	08:42:31	122       	6         	614       	2313070   
23 May 2014	08:42:49	123       	6         	619       	2331526   
23 May 2014	08:43:09	124       	6         	624       	2350991   
23 May 2014	08:43:27	125       	6         	629       	2369781   
23 May 2014	08:43:46	126       	6         	634       	2388420   
23 May 2014	08:44:05	127       	6         	639       	2406997   
23 May 2014	08:44:23	128       	6         	644       	2425734   
23 May 2014	08:44:42	129       	6         	649       	2444230   
23 May 2014	08:45:00	130       	6         	654       	2462803   
23 May 2014	08:45:19	131       	6         	659       	2481237   
23 May 2014	08:45:37	132       	6         	664       	2499826   
23 May 2014	08:45:56	133       	6         	669       	2518564   
23 May 2014	08:46:15	134       	6         	672       	2537292   
23 May 2014	08:46:34	135       	6         	679       	2556072   
23 May 2014	08:46:52	136       	6         	684       	2574661   
23 May 2014	08:47:12	137       	6         	688       	2593974   
23 May 2014	08:47:30	138       	6         	694       	2612769   
23 May 2014	08:47:49	139       	6         	698       	2631476   
23 May 2014	08:48:08	140       	6         	704       	2650178   
23 May 2014	08:48:27	141       	6         	709       	2668966   
23 May 2014	08:48:45	142       	6         	714       	2687795   
23 May 2014	08:49:05	143       	6         	719       	2707059   
23 May 2014	08:49:23	144       	6         	724       	2725777   
23 May 2014	08:49:42	145       	6         	729       	2744437   
23 May 2014	08:50:01	146       	6         	734       	2763252   
23 May 2014	08:50:20	147       	6         	739       	2781887   
23 May 2014	08:50:38	148       	6         	744       	2800614   
23 May 2014	08:50:57	149       	6         	747       	2819501   
23 May 2014	08:51:16	150       	6         	754       	2838637   
23 May 2014	08:51:35	151       	6         	759       	2857294   
23 May 2014	08:51:54	152       	6         	764       	2875865   
23 May 2014	08:52:12	153       	6         	769       	2894400   
23 May 2014	08:52:52	154       	6         	774       	2934537   
23 May 2014	08:53:11	155       	6         	779       	2953593   
23 May 2014	08:53:30	156       	6         	784       	2972330   
23 May 2014	08:53:49	157       	6         	789       	2990996   
23 May 2014	08:54:07	158       	6         	794       	3009509   
23 May 2014	08:54:26	159       	6         	799       	3028121   
