23 May 2014	12:05:35		Logging to file ./clientlog//EMClient__000000169.txt
23 May 2014	12:05:35		SETTING	LogServer	True
23 May 2014	12:05:35		SETTING	LogServerPath	./serverlog
23 May 2014	12:05:35		SETTING	LogClient	True
23 May 2014	12:05:35		SETTING	LogClientPath	./clientlog
23 May 2014	12:05:35		SETTING	Server	129.241.102.247
23 May 2014	12:05:35		SETTING	ServerPort	9090
23 May 2014	12:05:35		SETTING	DataAPIServerPort	9091
23 May 2014	12:05:35		SETTING	DataAPIServer	localhost
23 May 2014	12:05:35	Microsoft CLR? YES
23 May 2014	12:05:35	Ping response = 0
23 May 2014	12:05:35	Ping response took 73ms or 178701 ticks
23 May 2014	12:05:54	0         	7         	1         	19339     
23 May 2014	12:06:13	1         	7         	8         	38092     
23 May 2014	12:06:32	2         	7         	10        	57471     
23 May 2014	12:06:51	3         	7         	18        	76194     
23 May 2014	12:07:10	4         	7         	24        	94881     
23 May 2014	12:07:28	5         	7         	25        	113595    
23 May 2014	12:07:47	6         	7         	33        	132365    
23 May 2014	12:08:06	7         	7         	39        	151219    
23 May 2014	12:08:25	8         	7         	42        	170055    
23 May 2014	12:08:44	9         	7         	48        	189321    
23 May 2014	12:09:03	10        	7         	54        	208059    
23 May 2014	12:09:22	11        	6         	59        	226777    
23 May 2014	12:09:40	12        	7         	63        	245279    
23 May 2014	12:09:59	13        	7         	68        	263762    
23 May 2014	12:10:17	14        	7         	74        	281951    
23 May 2014	12:10:36	15        	7         	77        	301198    
23 May 2014	12:10:55	16        	7         	84        	319918    
23 May 2014	12:11:13	17        	6         	89        	338249    
23 May 2014	12:11:32	18        	7         	92        	356710    
23 May 2014	12:11:50	19        	7         	98        	375081    
23 May 2014	12:12:08	20        	7         	103       	393516    
23 May 2014	12:12:27	21        	6         	105       	412359    
23 May 2014	12:12:46	22        	7         	114       	430761    
23 May 2014	12:13:04	23        	7         	118       	449396    
23 May 2014	12:13:23	24        	7         	121       	467781    
23 May 2014	12:13:41	25        	6         	129       	486078    
23 May 2014	12:13:59	26        	7         	132       	504296    
23 May 2014	12:14:17	27        	6         	136       	522442    
23 May 2014	12:14:35	28        	6         	144       	540687    
23 May 2014	12:14:54	29        	7         	147       	558845    
23 May 2014	12:15:12	30        	6         	153       	577114    
23 May 2014	12:15:31	31        	6         	159       	595772    
23 May 2014	12:15:49	32        	6         	164       	614374    
23 May 2014	12:16:08	33        	6         	169       	632983    
23 May 2014	12:16:26	34        	7         	171       	651637    
23 May 2014	12:16:45	35        	6         	178       	670439    
23 May 2014	12:17:04	36        	6         	182       	689098    
23 May 2014	12:17:23	37        	5         	189       	707723    
23 May 2014	12:17:41	38        	6         	192       	726432    
23 May 2014	12:18:00	39        	6         	197       	745088    
23 May 2014	12:18:19	40        	6         	203       	764292    
23 May 2014	12:18:38	41        	7         	205       	783102    
23 May 2014	12:18:57	42        	6         	213       	801707    
23 May 2014	12:19:15	43        	6         	218       	820309    
23 May 2014	12:19:34	44        	6         	220       	838957    
23 May 2014	12:19:52	45        	6         	228       	857549    
23 May 2014	12:20:11	46        	6         	234       	875999    
