22 May 2014	19:53:51		Logging to file ./clientlog//EMClient__000000157.txt
22 May 2014	19:53:51		SETTING	LogServer	True
22 May 2014	19:53:51		SETTING	LogServerPath	./serverlog
22 May 2014	19:53:51		SETTING	LogClient	True
22 May 2014	19:53:51		SETTING	LogClientPath	./clientlog
22 May 2014	19:53:51		SETTING	Server	129.241.102.247
22 May 2014	19:53:51		SETTING	ServerPort	9090
22 May 2014	19:53:51		SETTING	DataAPIServerPort	9091
22 May 2014	19:53:51		SETTING	DataAPIServer	localhost
22 May 2014	19:53:51	Microsoft CLR? YES
22 May 2014	19:53:51	Ping response = 0
22 May 2014	19:53:51	Ping response took 78ms or 192188 ticks
22 May 2014	19:54:13	0         	4         	4         	22612     
22 May 2014	19:54:36	1         	4         	9         	45566     
22 May 2014	19:55:00	2         	4         	14        	69560     
22 May 2014	19:55:20	3         	4         	19        	89577     
22 May 2014	19:55:40	4         	6         	24        	109555    
22 May 2014	19:56:05	5         	10        	25        	134571    
22 May 2014	19:56:26	6         	6         	33        	154983    
22 May 2014	19:56:46	7         	4         	38        	175269    
22 May 2014	19:57:06	8         	4         	44        	195034    
22 May 2014	19:57:28	9         	4         	49        	216897    
22 May 2014	19:57:48	10        	4         	54        	237428    
22 May 2014	19:58:10	11        	4         	59        	259066    
22 May 2014	19:58:30	12        	4         	64        	279530    
22 May 2014	19:58:50	13        	4         	69        	299626    
22 May 2014	19:59:10	14        	4         	74        	319535    
22 May 2014	19:59:30	15        	4         	79        	339554    
22 May 2014	19:59:50	16        	4         	84        	359506    
22 May 2014	20:00:10	17        	4         	89        	379248    
22 May 2014	20:00:31	18        	4         	94        	399730    
22 May 2014	20:00:50	19        	4         	99        	419584    
22 May 2014	20:01:12	20        	4         	104       	440678    
22 May 2014	20:01:31	21        	4         	109       	460619    
22 May 2014	20:01:52	22        	4         	114       	480979    
22 May 2014	20:02:13	23        	4         	119       	501965    
22 May 2014	20:02:33	24        	4         	124       	522030    
22 May 2014	20:02:53	25        	4         	129       	542546    
22 May 2014	20:03:16	26        	4         	134       	565076    
22 May 2014	20:03:37	27        	4         	139       	585862    
22 May 2014	20:03:57	28        	4         	144       	605784    
22 May 2014	20:04:17	29        	4         	149       	625855    
22 May 2014	20:04:37	30        	4         	154       	645740    
22 May 2014	20:04:56	31        	4         	159       	665346    
22 May 2014	20:05:16	32        	4         	164       	685293    
22 May 2014	20:05:36	33        	4         	169       	705006    
22 May 2014	20:05:56	34        	4         	174       	724734    
22 May 2014	20:06:15	35        	4         	179       	744226    
22 May 2014	20:06:35	36        	4         	184       	763992    
22 May 2014	20:06:56	37        	4         	189       	785349    
22 May 2014	20:07:16	38        	4         	194       	805107    
22 May 2014	20:07:36	39        	4         	199       	824872    
22 May 2014	20:07:55	40        	4         	204       	844389    
22 May 2014	20:08:15	41        	4         	209       	864287    
22 May 2014	20:08:35	42        	4         	214       	884563    
22 May 2014	20:08:56	43        	4         	219       	905451    
22 May 2014	20:09:16	44        	4         	224       	925181    
22 May 2014	20:09:36	45        	4         	229       	944774    
22 May 2014	20:09:56	46        	4         	234       	965003    
22 May 2014	20:10:15	47        	4         	239       	984554    
22 May 2014	20:10:35	48        	4         	244       	1004014   
22 May 2014	20:10:55	49        	4         	249       	1024031   
22 May 2014	20:11:14	50        	4         	254       	1043619   
22 May 2014	20:11:34	51        	4         	259       	1063163   
22 May 2014	20:11:54	52        	4         	264       	1083456   
22 May 2014	20:12:14	53        	4         	269       	1103105   
22 May 2014	20:12:34	54        	4         	274       	1123011   
22 May 2014	20:12:54	55        	4         	279       	1143015   
22 May 2014	20:13:13	56        	4         	284       	1162523   
22 May 2014	20:13:35	57        	4         	289       	1184571   
22 May 2014	20:13:56	58        	4         	294       	1204689   
22 May 2014	20:14:16	59        	4         	299       	1225511   
22 May 2014	20:14:37	60        	4         	304       	1246152   
22 May 2014	20:14:57	61        	4         	309       	1266409   
22 May 2014	20:15:17	62        	4         	314       	1286231   
22 May 2014	20:15:37	63        	4         	319       	1305993   
22 May 2014	20:15:57	64        	4         	324       	1325860   
22 May 2014	20:16:18	65        	4         	329       	1347619   
22 May 2014	20:16:38	66        	4         	334       	1367378   
22 May 2014	20:16:58	67        	4         	339       	1387138   
22 May 2014	20:17:18	68        	4         	344       	1406692   
22 May 2014	20:17:38	69        	4         	349       	1427323   
22 May 2014	20:17:58	70        	4         	354       	1446967   
22 May 2014	20:18:18	71        	4         	359       	1466783   
22 May 2014	20:18:37	72        	4         	364       	1486491   
22 May 2014	20:18:59	73        	4         	369       	1507743   
22 May 2014	20:19:18	74        	4         	374       	1527526   
22 May 2014	20:19:38	75        	4         	379       	1547188   
22 May 2014	20:19:58	76        	4         	384       	1567080   
22 May 2014	20:20:18	77        	4         	389       	1586736   
22 May 2014	20:20:38	78        	4         	394       	1606762   
22 May 2014	20:20:58	79        	4         	399       	1626958   
22 May 2014	20:21:18	80        	4         	404       	1646828   
22 May 2014	20:21:38	81        	4         	409       	1666764   
22 May 2014	20:22:00	82        	4         	414       	1688791   
22 May 2014	20:22:20	83        	4         	419       	1708678   
22 May 2014	20:22:37	84        	4         	424       	1725770   
22 May 2014	20:22:56	85        	4         	429       	1745526   
22 May 2014	20:23:16	86        	4         	434       	1765287   
22 May 2014	20:23:36	87        	4         	439       	1785180   
22 May 2014	20:23:56	88        	4         	444       	1804969   
22 May 2014	20:24:17	89        	4         	449       	1826359   
22 May 2014	20:24:37	90        	4         	454       	1846464   
22 May 2014	20:24:57	91        	4         	459       	1866185   
22 May 2014	20:25:19	92        	4         	464       	1888222   
22 May 2014	20:25:40	93        	4         	469       	1909198   
22 May 2014	20:26:00	94        	4         	474       	1929625   
22 May 2014	20:26:20	95        	4         	479       	1949462   
22 May 2014	20:26:40	96        	4         	484       	1969388   
22 May 2014	20:27:00	97        	4         	489       	1989379   
22 May 2014	20:27:20	98        	4         	494       	2009371   
22 May 2014	20:27:40	99        	4         	499       	2029196   
22 May 2014	20:28:01	100       	4         	504       	2049736   
22 May 2014	20:28:22	101       	4         	509       	2071504   
22 May 2014	20:28:42	102       	4         	514       	2091082   
22 May 2014	20:29:09	103       	4         	519       	2118319   
22 May 2014	20:29:30	104       	4         	524       	2138975   
22 May 2014	20:29:50	105       	4         	529       	2159303   
22 May 2014	20:30:15	106       	4         	534       	2184222   
22 May 2014	20:30:40	107       	4         	539       	2209006   
22 May 2014	20:31:01	108       	4         	544       	2230313   
22 May 2014	20:31:21	109       	4         	549       	2250584   
22 May 2014	20:31:41	110       	4         	554       	2269986   
22 May 2014	20:32:00	111       	4         	559       	2289634   
22 May 2014	20:32:21	112       	4         	564       	2309742   
22 May 2014	20:32:44	113       	4         	569       	2333627   
22 May 2014	20:33:06	114       	4         	574       	2354913   
22 May 2014	20:33:25	115       	4         	579       	2374200   
22 May 2014	20:33:44	116       	4         	584       	2393254   
22 May 2014	20:34:06	117       	4         	589       	2415590   
22 May 2014	20:34:27	118       	4         	594       	2435763   
22 May 2014	20:34:46	119       	4         	599       	2455504   
22 May 2014	20:35:06	120       	4         	604       	2475509   
22 May 2014	20:35:27	121       	4         	609       	2496059   
22 May 2014	20:35:46	122       	4         	614       	2515188   
22 May 2014	20:36:06	123       	4         	619       	2535081   
22 May 2014	20:36:26	124       	4         	624       	2555478   
22 May 2014	20:36:47	125       	4         	629       	2576190   
22 May 2014	20:37:06	126       	6         	631       	2595327   
22 May 2014	20:37:29	127       	4         	638       	2618399   
22 May 2014	20:37:49	128       	5         	641       	2638167   
22 May 2014	20:38:15	129       	6         	649       	2664020   
22 May 2014	20:38:37	130       	4         	653       	2686099   
22 May 2014	20:39:01	131       	5         	657       	2709635   
22 May 2014	20:39:20	132       	4         	664       	2729278   
22 May 2014	20:39:40	133       	4         	668       	2748910   
22 May 2014	20:40:00	134       	5         	673       	2768928   
22 May 2014	20:40:21	135       	6         	679       	2789838   
22 May 2014	20:40:40	136       	5         	683       	2809426   
22 May 2014	20:41:00	137       	5         	688       	2829034   
22 May 2014	20:41:20	138       	5         	692       	2848646   
22 May 2014	20:41:39	139       	5         	695       	2868361   
22 May 2014	20:41:59	140       	6         	700       	2888198   
22 May 2014	20:42:27	141       	6         	705       	2916276   
22 May 2014	20:42:47	142       	5         	710       	2935906   
22 May 2014	20:43:06	143       	6         	716       	2955627   
22 May 2014	20:43:26	144       	6         	723       	2975400   
22 May 2014	20:43:46	145       	4         	729       	2995145   
22 May 2014	20:44:06	146       	4         	734       	3014908   
22 May 2014	20:44:26	147       	6         	739       	3034762   
22 May 2014	20:44:45	148       	6         	742       	3054416   
22 May 2014	20:45:06	149       	10        	745       	3075547   
22 May 2014	20:45:26	150       	6         	750       	3095308   
22 May 2014	20:45:47	151       	10        	755       	3116339   
22 May 2014	20:46:08	152       	5         	760       	3137450   
22 May 2014	20:46:23	153       	6         	765       	3152449   
22 May 2014	20:46:45	154       	5         	774       	3173814   
22 May 2014	20:47:04	155       	6         	777       	3193520   
22 May 2014	20:47:26	156       	9         	780       	3215100   
22 May 2014	20:47:43	157       	6         	785       	3231975   
22 May 2014	20:48:04	158       	9         	790       	3253257   
22 May 2014	20:48:24	159       	5         	796       	3273310   
22 May 2014	20:48:45	160       	9         	803       	3294331   
22 May 2014	20:49:08	161       	13        	805       	3317109   
22 May 2014	20:49:27	162       	4         	814       	3336573   
22 May 2014	20:49:47	163       	5         	819       	3356314   
22 May 2014	20:50:07	164       	6         	821       	3375743   
22 May 2014	20:50:26	165       	6         	825       	3395097   
22 May 2014	20:50:45	166       	4         	834       	3414592   
22 May 2014	20:51:05	167       	4         	839       	3434520   
22 May 2014	20:51:25	168       	4         	844       	3453824   
22 May 2014	20:51:43	169       	6         	845       	3472605   
22 May 2014	20:52:02	170       	6         	852       	3491556   
22 May 2014	20:52:21	171       	5         	855       	3510323   
22 May 2014	20:52:41	172       	5         	862       	3529824   
22 May 2014	20:53:12	173       	6         	868       	3561423   
22 May 2014	20:53:31	174       	4         	874       	3580576   
22 May 2014	20:53:51	175       	4         	879       	3599997   
22 May 2014	20:54:11	176       	4         	884       	3619886   
22 May 2014	20:54:31	177       	4         	889       	3639645   
22 May 2014	20:54:50	178       	4         	894       	3659399   
22 May 2014	20:55:10	179       	4         	899       	3679507   
22 May 2014	20:55:30	180       	4         	904       	3699249   
22 May 2014	20:55:53	181       	4         	909       	3722224   
22 May 2014	20:56:13	182       	4         	914       	3742025   
22 May 2014	20:56:33	183       	4         	919       	3761694   
22 May 2014	20:56:52	184       	4         	924       	3781402   
22 May 2014	20:57:12	185       	4         	929       	3800820   
22 May 2014	20:57:31	186       	4         	934       	3820157   
22 May 2014	20:57:50	187       	4         	939       	3839508   
