21 May 2014	18:50:39		Logging to file ./clientlog//EMClient__000000106.txt
21 May 2014	18:50:39		SETTING	LogServer	True
21 May 2014	18:50:39		SETTING	LogServerPath	./serverlog
21 May 2014	18:50:39		SETTING	LogClient	True
21 May 2014	18:50:39		SETTING	LogClientPath	./clientlog
21 May 2014	18:50:39		SETTING	Server	129.241.102.247
21 May 2014	18:50:39		SETTING	ServerPort	9090
21 May 2014	18:50:39		SETTING	DataAPIServerPort	9091
21 May 2014	18:50:39		SETTING	DataAPIServer	localhost
21 May 2014	18:50:39	Microsoft CLR? YES
21 May 2014	18:50:39	Ping response = 0
21 May 2014	18:50:39	Ping response took 76ms or 185641 ticks
21 May 2014	18:50:50	0         	3         	1         	11390     
21 May 2014	18:51:03	1         	7         	9         	23715     
21 May 2014	18:51:14	2         	3         	12        	34571     
21 May 2014	18:51:25	3         	3         	16        	45514     
21 May 2014	18:51:37	4         	6         	23        	57858     
21 May 2014	18:51:48	5         	2         	29        	68738     
21 May 2014	18:51:59	6         	2         	34        	79601     
21 May 2014	18:52:10	7         	2         	39        	90819     
21 May 2014	18:52:21	8         	3         	42        	101611    
21 May 2014	18:52:31	9         	2         	49        	112429    
21 May 2014	18:52:42	10        	2         	54        	123254    
21 May 2014	18:52:53	11        	2         	59        	134172    
21 May 2014	18:53:04	12        	3         	63        	145015    
21 May 2014	18:53:15	13        	3         	65        	155863    
21 May 2014	18:53:26	14        	3         	74        	166657    
21 May 2014	18:53:37	15        	2         	79        	177539    
21 May 2014	18:53:47	16        	2         	84        	188493    
21 May 2014	18:54:01	17        	10        	88        	202301    
21 May 2014	18:54:13	18        	3         	93        	213553    
21 May 2014	18:54:23	19        	3         	99        	224481    
21 May 2014	18:54:35	20        	3         	103       	235512    
21 May 2014	18:54:45	21        	3         	109       	246402    
21 May 2014	18:54:56	22        	3         	112       	257257    
21 May 2014	18:55:07	23        	3         	117       	268261    
21 May 2014	18:55:18	24        	3         	122       	279133    
21 May 2014	18:55:29	25        	3         	129       	290103    
21 May 2014	18:55:40	26        	3         	133       	300877    
21 May 2014	18:55:51	27        	2         	138       	311738    
21 May 2014	18:56:02	28        	3         	143       	322640    
21 May 2014	18:56:13	29        	3         	147       	334447    
21 May 2014	18:56:24	30        	3         	153       	345266    
21 May 2014	18:56:35	31        	3         	158       	356309    
21 May 2014	18:56:46	32        	2         	164       	367204    
21 May 2014	18:56:59	33        	5         	168       	379575    
21 May 2014	18:57:09	34        	3         	171       	390462    
21 May 2014	18:57:20	35        	3         	179       	401377    
21 May 2014	18:57:31	36        	3         	184       	412291    
21 May 2014	18:57:46	37        	11        	189       	426525    
21 May 2014	18:57:57	38        	3         	194       	437519    
21 May 2014	18:58:08	39        	3         	197       	449087    
21 May 2014	18:58:19	40        	3         	203       	460148    
21 May 2014	18:58:30	41        	3         	205       	471157    
21 May 2014	18:58:41	42        	3         	214       	482173    
21 May 2014	18:58:52	43        	2         	219       	493167    
21 May 2014	18:59:03	44        	2         	224       	504221    
21 May 2014	18:59:14	45        	2         	229       	515274    
21 May 2014	18:59:25	46        	2         	234       	526175    
21 May 2014	18:59:36	47        	2         	239       	537084    
21 May 2014	18:59:47	48        	3         	242       	548015    
21 May 2014	18:59:58	49        	2         	249       	558569    
21 May 2014	19:00:13	50        	10        	251       	573602    
21 May 2014	19:00:23	51        	3         	259       	584224    
21 May 2014	19:00:34	52        	3         	264       	594988    
21 May 2014	19:00:45	53        	2         	269       	605553    
21 May 2014	19:00:58	54        	7         	270       	619304    
21 May 2014	19:01:09	55        	3         	275       	629845    
21 May 2014	19:01:20	56        	3         	280       	640813    
21 May 2014	19:01:30	57        	3         	286       	651425    
21 May 2014	19:01:41	58        	3         	292       	662097    
21 May 2014	19:01:52	59        	3         	297       	672746    
21 May 2014	19:02:02	60        	3         	304       	683327    
21 May 2014	19:02:13	61        	2         	309       	693909    
21 May 2014	19:02:23	62        	3         	313       	704437    
21 May 2014	19:02:34	63        	2         	319       	715219    
21 May 2014	19:02:45	64        	3         	324       	725854    
21 May 2014	19:02:56	65        	2         	329       	736734    
21 May 2014	19:03:08	66        	7         	331       	749135    
21 May 2014	19:03:19	67        	2         	339       	760483    
21 May 2014	19:03:30	68        	3         	344       	771413    
21 May 2014	19:03:41	69        	3         	348       	782414    
21 May 2014	19:03:52	70        	3         	352       	793407    
21 May 2014	19:04:05	71        	6         	356       	805841    
21 May 2014	19:04:16	72        	3         	360       	816779    
21 May 2014	19:04:27	73        	2         	369       	827809    
21 May 2014	19:04:38	74        	2         	372       	838736    
21 May 2014	19:04:49	75        	3         	378       	849654    
21 May 2014	19:05:00	76        	3         	380       	860600    
21 May 2014	19:05:13	77        	6         	389       	873665    
21 May 2014	19:05:24	78        	3         	393       	884574    
21 May 2014	19:05:35	79        	2         	399       	895498    
21 May 2014	19:05:45	80        	2         	404       	906372    
21 May 2014	19:05:56	81        	2         	409       	917284    
21 May 2014	19:06:07	82        	3         	410       	928208    
21 May 2014	19:06:18	83        	2         	419       	939191    
21 May 2014	19:06:29	84        	3         	422       	950132    
21 May 2014	19:06:40	85        	3         	427       	960986    
21 May 2014	19:06:51	86        	2         	433       	971535    
21 May 2014	19:07:01	87        	2         	439       	982175    
21 May 2014	19:07:12	88        	2         	444       	993319    
21 May 2014	19:07:23	89        	2         	449       	1003845   
21 May 2014	19:07:33	90        	2         	454       	1014382   
21 May 2014	19:07:44	91        	2         	459       	1025057   
21 May 2014	19:07:55	92        	2         	464       	1036096   
21 May 2014	19:08:06	93        	2         	469       	1047051   
21 May 2014	19:08:17	94        	2         	474       	1058122   
21 May 2014	19:08:28	95        	2         	479       	1069086   
21 May 2014	19:08:39	96        	2         	484       	1080040   
21 May 2014	19:08:50	97        	2         	489       	1091135   
21 May 2014	19:09:01	98        	2         	493       	1102084   
21 May 2014	19:09:13	99        	2         	499       	1113544   
21 May 2014	19:09:26	100       	2         	504       	1127258   
21 May 2014	19:09:38	101       	2         	509       	1138556   
21 May 2014	19:09:49	102       	3         	512       	1149520   
21 May 2014	19:10:00	103       	2         	519       	1160579   
21 May 2014	19:10:11	104       	2         	524       	1171507   
21 May 2014	19:10:22	105       	2         	529       	1182599   
21 May 2014	19:10:33	106       	2         	534       	1193649   
21 May 2014	19:10:44	107       	3         	537       	1204559   
21 May 2014	19:10:54	108       	2         	544       	1215440   
21 May 2014	19:11:06	109       	2         	549       	1226595   
21 May 2014	19:11:17	110       	2         	554       	1237624   
21 May 2014	19:11:29	111       	2         	559       	1249652   
21 May 2014	19:11:40	112       	2         	564       	1260742   
21 May 2014	19:11:51	113       	2         	569       	1271794   
21 May 2014	19:12:02	114       	2         	574       	1282782   
21 May 2014	19:12:13	115       	2         	579       	1293680   
21 May 2014	19:12:24	116       	3         	584       	1304729   
21 May 2014	19:12:35	117       	2         	589       	1315660   
21 May 2014	19:12:46	118       	2         	594       	1326617   
21 May 2014	19:12:56	119       	3         	599       	1337464   
21 May 2014	19:13:07	120       	2         	604       	1348419   
21 May 2014	19:13:18	121       	2         	609       	1359275   
21 May 2014	19:13:30	122       	2         	614       	1370748   
21 May 2014	19:13:41	123       	2         	619       	1381636   
21 May 2014	19:13:52	124       	2         	624       	1392665   
21 May 2014	19:14:03	125       	2         	629       	1403687   
21 May 2014	19:14:14	126       	2         	634       	1414681   
21 May 2014	19:14:25	127       	2         	639       	1425635   
21 May 2014	19:14:36	128       	2         	644       	1436579   
21 May 2014	19:14:47	129       	2         	649       	1447652   
21 May 2014	19:14:58	130       	2         	654       	1458677   
21 May 2014	19:15:09	131       	2         	659       	1469577   
21 May 2014	19:15:20	132       	2         	664       	1480521   
21 May 2014	19:15:31	133       	2         	669       	1491978   
21 May 2014	19:15:42	134       	2         	674       	1502988   
21 May 2014	19:15:53	135       	2         	679       	1513871   
21 May 2014	19:16:04	136       	2         	684       	1524734   
21 May 2014	19:16:17	137       	7         	685       	1538233   
21 May 2014	19:16:28	138       	2         	694       	1548796   
21 May 2014	19:16:38	139       	2         	699       	1559347   
21 May 2014	19:16:49	140       	2         	704       	1570382   
21 May 2014	19:17:00	141       	2         	709       	1581297   
21 May 2014	19:17:11	142       	2         	714       	1592455   
21 May 2014	19:17:22	143       	2         	719       	1603392   
21 May 2014	19:17:34	144       	2         	724       	1614909   
21 May 2014	19:17:45	145       	2         	729       	1625887   
21 May 2014	19:17:56	146       	2         	734       	1636861   
21 May 2014	19:18:07	147       	2         	739       	1647809   
21 May 2014	19:18:18	148       	2         	744       	1658687   
21 May 2014	19:18:29	149       	2         	749       	1669579   
21 May 2014	19:18:39	150       	2         	754       	1680443   
21 May 2014	19:18:50	151       	2         	759       	1691225   
21 May 2014	19:19:01	152       	2         	764       	1702066   
21 May 2014	19:19:12	153       	3         	767       	1712980   
21 May 2014	19:19:23	154       	2         	774       	1723866   
21 May 2014	19:19:34	155       	3         	777       	1735326   
21 May 2014	19:19:45	156       	3         	783       	1746256   
21 May 2014	19:19:56	157       	3         	789       	1757198   
21 May 2014	19:20:07	158       	2         	794       	1768181   
21 May 2014	19:20:20	159       	5         	796       	1780627   
