27 May 2014	11:42:29		Logging to file ./clientlog//EMClient__000000206.txt
27 May 2014	11:42:29		SETTING	LogServer	True
27 May 2014	11:42:29		SETTING	LogServerPath	./serverlog
27 May 2014	11:42:29		SETTING	LogClient	True
27 May 2014	11:42:29		SETTING	LogClientPath	./clientlog
27 May 2014	11:42:29		SETTING	Server	129.241.102.247
27 May 2014	11:42:29		SETTING	ServerPort	9090
27 May 2014	11:42:29		SETTING	DataAPIServerPort	9091
27 May 2014	11:42:29		SETTING	DataAPIServer	localhost
27 May 2014	11:42:29	Microsoft CLR? YES
27 May 2014	11:42:29	Ping response = 0
27 May 2014	11:42:29	Ping response took 74ms or 182676 ticks
27 May 2014	11:43:06	0         	0         	4         	37130     
27 May 2014	11:43:41	1         	0         	9         	71575     
27 May 2014	11:44:15	2         	0         	14        	106204    
27 May 2014	11:44:51	3         	0         	19        	141547    
27 May 2014	11:45:25	4         	0         	24        	176038    
27 May 2014	11:46:00	5         	0         	29        	210639    
27 May 2014	11:46:34	6         	0         	34        	245273    
27 May 2014	11:47:10	7         	0         	39        	280351    
27 May 2014	11:47:44	8         	0         	44        	314889    
27 May 2014	11:48:18	9         	0         	49        	349339    
27 May 2014	11:48:54	10        	0         	54        	385245    
27 May 2014	11:49:29	11        	0         	59        	419739    
27 May 2014	11:50:04	12        	0         	64        	454719    
27 May 2014	11:50:39	13        	0         	69        	489423    
27 May 2014	11:51:13	14        	0         	74        	523824    
27 May 2014	11:51:47	15        	0         	79        	558348    
27 May 2014	11:52:22	16        	0         	84        	592853    
27 May 2014	11:52:57	17        	0         	89        	627386    
27 May 2014	11:53:31	18        	0         	94        	662315    
27 May 2014	11:54:06	19        	0         	99        	697296    
27 May 2014	11:54:41	20        	0         	104       	732322    
27 May 2014	11:55:16	21        	0         	109       	767175    
27 May 2014	11:55:51	22        	0         	114       	802218    
27 May 2014	11:56:27	23        	0         	119       	837897    
27 May 2014	11:57:02	24        	0         	124       	873033    
27 May 2014	11:57:37	25        	0         	129       	907505    
27 May 2014	11:58:12	26        	0         	134       	942833    
27 May 2014	11:58:47	27        	0         	139       	977459    
27 May 2014	11:59:21	28        	0         	144       	1012168   
27 May 2014	11:59:56	29        	0         	149       	1046871   
27 May 2014	12:00:31	30        	0         	154       	1081792   
27 May 2014	12:01:06	31        	0         	159       	1116530   
27 May 2014	12:01:41	32        	0         	164       	1151563   
27 May 2014	12:02:15	33        	0         	169       	1186236   
27 May 2014	12:02:51	34        	0         	174       	1221998   
27 May 2014	12:03:27	35        	0         	179       	1257415   
27 May 2014	12:04:01	36        	0         	184       	1292262   
27 May 2014	12:04:36	37        	0         	189       	1327187   
27 May 2014	12:05:13	38        	0         	194       	1363404   
27 May 2014	12:05:48	39        	0         	199       	1398525   
27 May 2014	12:06:22	40        	0         	204       	1432974   
27 May 2014	12:06:57	41        	0         	209       	1467601   
27 May 2014	12:07:31	42        	0         	214       	1501798   
27 May 2014	12:08:05	43        	0         	219       	1536231   
27 May 2014	12:08:40	44        	0         	224       	1571155   
27 May 2014	12:09:15	45        	0         	229       	1605869   
27 May 2014	12:09:50	46        	0         	234       	1640480   
27 May 2014	12:10:26	47        	0         	239       	1676939   
27 May 2014	12:11:01	48        	0         	244       	1711876   
27 May 2014	12:11:36	49        	0         	249       	1747099   
27 May 2014	12:12:11	50        	0         	254       	1781665   
27 May 2014	12:12:46	51        	0         	259       	1817171   
27 May 2014	12:13:21	52        	0         	264       	1851816   
27 May 2014	12:13:56	53        	0         	269       	1886377   
27 May 2014	12:14:30	54        	0         	274       	1921304   
27 May 2014	12:15:05	55        	0         	279       	1956167   
27 May 2014	12:15:40	56        	0         	284       	1991197   
27 May 2014	12:16:15	57        	0         	289       	2025826   
27 May 2014	12:16:50	58        	0         	294       	2060679   
27 May 2014	12:17:25	59        	0         	299       	2095436   
27 May 2014	12:17:59	60        	0         	304       	2130176   
27 May 2014	12:18:34	61        	0         	309       	2165124   
27 May 2014	12:19:12	62        	0         	314       	2202441   
27 May 2014	12:19:46	63        	0         	319       	2236799   
27 May 2014	12:20:21	64        	0         	324       	2271468   
27 May 2014	12:20:56	65        	0         	329       	2306486   
27 May 2014	12:21:30	66        	0         	334       	2341214   
27 May 2014	12:22:05	67        	0         	339       	2376237   
27 May 2014	12:22:40	68        	0         	344       	2411081   
27 May 2014	12:23:15	69        	0         	349       	2445940   
27 May 2014	12:23:50	70        	0         	354       	2480752   
