22 May 2014	21:04:08		Logging to file ./clientlog//EMClient__000000160.txt
22 May 2014	21:04:08		SETTING	LogServer	True
22 May 2014	21:04:08		SETTING	LogServerPath	./serverlog
22 May 2014	21:04:08		SETTING	LogClient	True
22 May 2014	21:04:08		SETTING	LogClientPath	./clientlog
22 May 2014	21:04:08		SETTING	Server	129.241.102.247
22 May 2014	21:04:08		SETTING	ServerPort	9090
22 May 2014	21:04:08		SETTING	DataAPIServerPort	9091
22 May 2014	21:04:08		SETTING	DataAPIServer	localhost
22 May 2014	21:04:08	Microsoft CLR? YES
22 May 2014	21:04:08	Ping response = 0
22 May 2014	21:04:08	Ping response took 79ms or 193993 ticks
22 May 2014	21:04:31	0         	5         	3         	22230     
22 May 2014	21:04:50	1         	5         	9         	41710     
22 May 2014	21:05:11	2         	5         	13        	62059     
22 May 2014	21:05:36	3         	6         	18        	87662     
22 May 2014	21:06:04	4         	6         	24        	116025    
22 May 2014	21:06:29	5         	6         	25        	140646    
22 May 2014	21:06:50	6         	3         	34        	161147    
22 May 2014	21:07:11	7         	3         	39        	182927    
22 May 2014	21:07:33	8         	3         	44        	204871    
22 May 2014	21:07:53	9         	3         	49        	224230    
22 May 2014	21:08:13	10        	3         	54        	244357    
22 May 2014	21:08:33	11        	3         	59        	264175    
22 May 2014	21:08:52	12        	3         	64        	283510    
22 May 2014	21:09:12	13        	3         	69        	303183    
22 May 2014	21:09:33	14        	3         	74        	324839    
22 May 2014	21:10:00	15        	3         	79        	351695    
22 May 2014	21:10:19	16        	3         	84        	370799    
22 May 2014	21:10:38	17        	3         	89        	390032    
22 May 2014	21:10:58	18        	3         	94        	409193    
22 May 2014	21:11:17	19        	3         	99        	428395    
22 May 2014	21:11:35	20        	3         	104       	446760    
22 May 2014	21:11:54	21        	3         	109       	465668    
22 May 2014	21:12:13	22        	3         	114       	484509    
22 May 2014	21:12:32	23        	3         	119       	503925    
22 May 2014	21:12:52	24        	3         	124       	523113    
22 May 2014	21:13:10	25        	3         	129       	541489    
22 May 2014	21:13:29	26        	6         	134       	560888    
22 May 2014	21:13:49	27        	6         	138       	580272    
22 May 2014	21:14:08	28        	6         	144       	599550    
22 May 2014	21:14:27	29        	6         	149       	618869    
22 May 2014	21:14:47	30        	6         	154       	638206    
22 May 2014	21:15:06	31        	6         	159       	657401    
22 May 2014	21:15:25	32        	6         	164       	676513    
22 May 2014	21:15:44	33        	6         	167       	695671    
22 May 2014	21:16:03	34        	6         	173       	714835    
22 May 2014	21:16:22	35        	6         	179       	734019    
22 May 2014	21:16:42	36        	6         	183       	753743    
22 May 2014	21:17:01	37        	6         	188       	772769    
22 May 2014	21:17:20	38        	6         	194       	791902    
22 May 2014	21:17:39	39        	6         	199       	811004    
22 May 2014	21:17:59	40        	6         	204       	830149    
22 May 2014	21:18:18	41        	6         	209       	849295    
22 May 2014	21:18:38	42        	6         	214       	869731    
22 May 2014	21:18:57	43        	6         	219       	888954    
22 May 2014	21:19:17	44        	6         	222       	908790    
22 May 2014	21:19:38	45        	5         	228       	929069    
22 May 2014	21:19:59	46        	5         	234       	950108    
22 May 2014	21:20:19	47        	5         	239       	970335    
22 May 2014	21:20:40	48        	5         	244       	991663    
22 May 2014	21:21:00	49        	3         	249       	1011318   
22 May 2014	21:21:19	50        	5         	252       	1031005   
22 May 2014	21:21:39	51        	6         	259       	1050759   
22 May 2014	21:21:59	52        	6         	264       	1070562   
22 May 2014	21:22:19	53        	6         	269       	1090396   
22 May 2014	21:22:38	54        	6         	274       	1109746   
22 May 2014	21:22:58	55        	6         	279       	1129703   
22 May 2014	21:23:18	56        	6         	284       	1149264   
22 May 2014	21:23:38	57        	6         	287       	1169838   
22 May 2014	21:24:02	58        	6         	294       	1193354   
22 May 2014	21:24:22	59        	6         	299       	1213888   
22 May 2014	21:24:44	60        	6         	301       	1235513   
22 May 2014	21:25:09	61        	6         	308       	1260585   
22 May 2014	21:25:31	62        	6         	314       	1282334   
22 May 2014	21:25:51	63        	3         	319       	1303013   
22 May 2014	21:26:12	64        	3         	324       	1323248   
22 May 2014	21:26:33	65        	3         	329       	1344738   
22 May 2014	21:26:58	66        	3         	334       	1369381   
22 May 2014	21:27:18	67        	3         	339       	1389703   
22 May 2014	21:27:38	68        	3         	344       	1409511   
22 May 2014	21:28:01	69        	3         	349       	1432798   
22 May 2014	21:28:23	70        	3         	354       	1454039   
22 May 2014	21:28:43	71        	3         	359       	1474359   
22 May 2014	21:29:04	72        	3         	364       	1495545   
22 May 2014	21:29:25	73        	3         	369       	1516862   
22 May 2014	21:29:46	74        	3         	374       	1537285   
