28 May 2014	10:21:13		Logging to file ./clientlog//EMClient__000000257.txt
28 May 2014	10:21:13		SETTING	LogServer	True
28 May 2014	10:21:13		SETTING	LogServerPath	./serverlog
28 May 2014	10:21:13		SETTING	LogClient	True
28 May 2014	10:21:13		SETTING	LogClientPath	./clientlog
28 May 2014	10:21:13		SETTING	Server	129.241.102.247
28 May 2014	10:21:13		SETTING	ServerPort	9090
28 May 2014	10:21:13		SETTING	DataAPIServerPort	9091
28 May 2014	10:21:13		SETTING	DataAPIServer	localhost
28 May 2014	10:21:13	Microsoft CLR? YES
28 May 2014	10:21:13	Ping response = 0
28 May 2014	10:21:13	Ping response took 77ms or 189480 ticks
28 May 2014	10:21:41	0         	0         	3         	27599     
28 May 2014	10:22:17	1         	0         	7         	63645     
28 May 2014	10:22:51	2         	0         	11        	97898     
28 May 2014	10:23:26	3         	0         	15        	132147    
28 May 2014	10:24:00	4         	0         	19        	166534    
28 May 2014	10:24:35	5         	0         	23        	201887    
28 May 2014	10:25:10	6         	0         	27        	236725    
28 May 2014	10:25:45	7         	0         	31        	271463    
28 May 2014	10:26:20	8         	0         	35        	306926    
28 May 2014	10:26:55	9         	0         	39        	341918    
28 May 2014	10:27:30	10        	0         	43        	376627    
28 May 2014	10:28:05	11        	0         	47        	411360    
28 May 2014	10:28:40	12        	0         	51        	446803    
28 May 2014	10:29:15	13        	0         	55        	481806    
28 May 2014	10:29:50	14        	0         	59        	516473    
28 May 2014	10:30:25	15        	0         	63        	551850    
28 May 2014	10:31:00	16        	0         	67        	586410    
28 May 2014	10:31:35	17        	0         	71        	621214    
28 May 2014	10:32:09	18        	0         	75        	655775    
28 May 2014	10:32:46	19        	0         	79        	692340    
28 May 2014	10:33:24	20        	0         	83        	730863    
28 May 2014	10:33:59	21        	0         	87        	765426    
28 May 2014	10:34:34	22        	0         	91        	800100    
