22 May 2014	18:02:15		Logging to file ./clientlog//EMClient__000000155.txt
22 May 2014	18:02:15		SETTING	LogServer	True
22 May 2014	18:02:15		SETTING	LogServerPath	./serverlog
22 May 2014	18:02:15		SETTING	LogClient	True
22 May 2014	18:02:15		SETTING	LogClientPath	./clientlog
22 May 2014	18:02:15		SETTING	Server	129.241.102.247
22 May 2014	18:02:15		SETTING	ServerPort	9090
22 May 2014	18:02:15		SETTING	DataAPIServerPort	9091
22 May 2014	18:02:15		SETTING	DataAPIServer	localhost
22 May 2014	18:02:15	Microsoft CLR? YES
22 May 2014	18:02:15	Ping response = 0
22 May 2014	18:02:15	Ping response took 74ms or 181319 ticks
22 May 2014	18:02:31	0         	3         	4         	16171     
22 May 2014	18:02:47	1         	3         	9         	31571     
22 May 2014	18:03:03	2         	3         	14        	48180     
22 May 2014	18:03:19	3         	3         	19        	63433     
22 May 2014	18:03:34	4         	3         	24        	78746     
22 May 2014	18:03:49	5         	3         	29        	93969     
22 May 2014	18:04:05	6         	3         	34        	109883    
22 May 2014	18:04:20	7         	3         	39        	125170    
22 May 2014	18:04:36	8         	3         	44        	140719    
22 May 2014	18:04:51	9         	3         	49        	156175    
22 May 2014	18:05:07	10        	3         	54        	171636    
22 May 2014	18:05:22	11        	3         	59        	187117    
22 May 2014	18:05:38	12        	3         	64        	202821    
22 May 2014	18:05:54	13        	3         	69        	218429    
22 May 2014	18:06:09	14        	3         	74        	234146    
22 May 2014	18:06:25	15        	3         	79        	249644    
22 May 2014	18:06:40	16        	3         	84        	265134    
22 May 2014	18:06:56	17        	3         	89        	280636    
22 May 2014	18:07:11	18        	3         	94        	296126    
22 May 2014	18:07:27	19        	3         	99        	311630    
22 May 2014	18:07:42	20        	3         	104       	327054    
22 May 2014	18:07:58	21        	3         	109       	342494    
22 May 2014	18:08:14	22        	3         	114       	358603    
22 May 2014	18:08:30	23        	3         	119       	374475    
22 May 2014	18:08:45	24        	3         	124       	390302    
22 May 2014	18:09:01	25        	3         	129       	406170    
22 May 2014	18:09:17	26        	3         	134       	422047    
22 May 2014	18:09:33	27        	3         	139       	437963    
22 May 2014	18:09:49	28        	3         	144       	453722    
22 May 2014	18:10:06	29        	3         	149       	470626    
22 May 2014	18:10:21	30        	3         	154       	486290    
22 May 2014	18:10:37	31        	3         	159       	501415    
22 May 2014	18:10:52	32        	3         	164       	516436    
22 May 2014	18:11:07	33        	3         	169       	531438    
22 May 2014	18:11:22	34        	3         	174       	546589    
22 May 2014	18:11:37	35        	3         	179       	561807    
22 May 2014	18:11:52	36        	3         	184       	576892    
22 May 2014	18:12:08	37        	3         	189       	592446    
22 May 2014	18:12:23	38        	3         	194       	607854    
22 May 2014	18:12:38	39        	3         	199       	622968    
22 May 2014	18:12:51	40        	3         	203       	636064    
22 May 2014	18:13:07	41        	3         	209       	651574    
22 May 2014	18:13:22	42        	4         	214       	666723    
22 May 2014	18:13:39	43        	7         	216       	684321    
22 May 2014	18:13:59	44        	7         	224       	703447    
22 May 2014	18:14:19	45        	14        	227       	724089    
22 May 2014	18:14:37	46        	8         	233       	741380    
22 May 2014	18:14:52	47        	4         	236       	757203    
22 May 2014	18:15:08	48        	4         	242       	772820    
22 May 2014	18:15:24	49        	4         	249       	788718    
22 May 2014	18:15:40	50        	4         	251       	804652    
22 May 2014	18:15:56	51        	4         	256       	820612    
22 May 2014	18:16:14	52        	6         	261       	838393    
22 May 2014	18:16:29	53        	4         	265       	854328    
22 May 2014	18:16:47	54        	7         	270       	871618    
22 May 2014	18:17:03	55        	4         	277       	887354    
22 May 2014	18:17:23	56        	16        	283       	907422    
22 May 2014	18:17:38	57        	4         	286       	923147    
22 May 2014	18:17:54	58        	4         	290       	938914    
22 May 2014	18:18:12	59        	6         	297       	956751    
22 May 2014	18:18:28	60        	4         	303       	972472    
22 May 2014	18:18:45	61        	7         	306       	989705    
22 May 2014	18:19:03	62        	12        	310       	1008230   
22 May 2014	18:19:20	63        	3         	318       	1025160   
22 May 2014	18:19:36	64        	3         	324       	1040713   
22 May 2014	18:19:52	65        	3         	329       	1056524   
22 May 2014	18:20:07	66        	3         	334       	1072291   
22 May 2014	18:20:23	67        	3         	339       	1088050   
22 May 2014	18:20:39	68        	3         	344       	1104306   
22 May 2014	18:20:55	69        	3         	349       	1120055   
22 May 2014	18:21:11	70        	3         	354       	1136154   
22 May 2014	18:21:27	71        	3         	359       	1151902   
22 May 2014	18:21:43	72        	3         	364       	1167651   
22 May 2014	18:21:59	73        	3         	369       	1183472   
22 May 2014	18:22:14	74        	3         	374       	1198972   
22 May 2014	18:22:30	75        	3         	379       	1214717   
22 May 2014	18:22:46	76        	3         	384       	1230560   
22 May 2014	18:23:01	77        	3         	389       	1246280   
22 May 2014	18:23:18	78        	3         	394       	1262625   
22 May 2014	18:23:34	79        	3         	399       	1278356   
22 May 2014	18:23:49	80        	3         	404       	1294159   
22 May 2014	18:24:05	81        	3         	409       	1309865   
22 May 2014	18:24:21	82        	3         	414       	1325614   
22 May 2014	18:24:37	83        	3         	419       	1341509   
22 May 2014	18:24:52	84        	3         	424       	1357270   
22 May 2014	18:25:08	85        	3         	429       	1372891   
22 May 2014	18:25:24	86        	3         	434       	1389327   
22 May 2014	18:25:42	87        	8         	437       	1406481   
22 May 2014	18:25:53	88        	3         	444       	1417844   
22 May 2014	18:26:07	89        	3         	449       	1431353   
22 May 2014	18:26:22	90        	3         	454       	1447084   
22 May 2014	18:26:38	91        	3         	459       	1462880   
22 May 2014	18:26:54	92        	3         	464       	1478660   
22 May 2014	18:27:07	93        	3         	468       	1492188   
22 May 2014	18:27:24	94        	3         	474       	1508516   
22 May 2014	18:27:39	95        	3         	479       	1524291   
22 May 2014	18:27:55	96        	3         	484       	1540108   
22 May 2014	18:28:11	97        	3         	489       	1555726   
22 May 2014	18:28:27	98        	3         	494       	1571481   
22 May 2014	18:28:42	99        	3         	499       	1587225   
22 May 2014	18:28:58	100       	3         	504       	1602866   
22 May 2014	18:29:14	101       	3         	509       	1618862   
22 May 2014	18:29:30	102       	3         	514       	1634382   
22 May 2014	18:29:46	103       	3         	519       	1650372   
22 May 2014	18:30:01	104       	3         	524       	1665802   
22 May 2014	18:30:17	105       	3         	529       	1681482   
22 May 2014	18:30:33	106       	3         	534       	1697432   
22 May 2014	18:30:48	107       	3         	539       	1713023   
22 May 2014	18:31:04	108       	3         	544       	1728740   
22 May 2014	18:31:39	109       	3         	549       	1763488   
