21 May 2014	18:05:48		Logging to file ./clientlog//EMClient__000000098.txt
21 May 2014	18:05:48		SETTING	LogServer	True
21 May 2014	18:05:48		SETTING	LogServerPath	./serverlog
21 May 2014	18:05:48		SETTING	LogClient	True
21 May 2014	18:05:48		SETTING	LogClientPath	./clientlog
21 May 2014	18:05:48		SETTING	Server	129.241.102.247
21 May 2014	18:05:48		SETTING	ServerPort	9090
21 May 2014	18:05:48		SETTING	DataAPIServerPort	9091
21 May 2014	18:05:48		SETTING	DataAPIServer	localhost
21 May 2014	18:05:48	Microsoft CLR? YES
21 May 2014	18:05:48	Ping response = 0
21 May 2014	18:05:48	Ping response took 70ms or 170972 ticks
21 May 2014	18:05:57	0         	3         	3         	8695      
21 May 2014	18:06:11	1         	11        	6         	22818     
21 May 2014	18:06:20	2         	3         	14        	31781     
21 May 2014	18:06:31	3         	6         	19        	42374     
21 May 2014	18:06:40	4         	3         	24        	51313     
21 May 2014	18:06:49	5         	3         	28        	60530     
21 May 2014	18:06:59	6         	7         	32        	70243     
21 May 2014	18:07:09	7         	6         	38        	80976     
21 May 2014	18:07:19	8         	3         	44        	90699     
21 May 2014	18:07:29	9         	7         	48        	100800    
21 May 2014	18:07:38	10        	3         	51        	109915    
21 May 2014	18:07:48	11        	2         	59        	119713    
21 May 2014	18:07:58	12        	5         	64        	130012    
21 May 2014	18:08:07	13        	2         	69        	139021    
21 May 2014	18:08:17	14        	2         	74        	148171    
21 May 2014	18:08:27	15        	3         	78        	158544    
21 May 2014	18:08:37	16        	3         	83        	168559    
21 May 2014	18:08:46	17        	3         	89        	177640    
21 May 2014	18:08:55	18        	2         	94        	186957    
21 May 2014	18:09:05	19        	3         	99        	196262    
21 May 2014	18:09:14	20        	3         	100       	205249    
21 May 2014	18:09:23	21        	2         	109       	214334    
21 May 2014	18:09:34	22        	7         	111       	225493    
21 May 2014	18:09:43	23        	3         	116       	234786    
21 May 2014	18:09:52	24        	3         	122       	243831    
21 May 2014	18:10:03	25        	5         	129       	254706    
21 May 2014	18:10:13	26        	3         	130       	264640    
21 May 2014	18:10:23	27        	7         	136       	274704    
21 May 2014	18:10:32	28        	3         	141       	283993    
21 May 2014	18:10:42	29        	3         	148       	293369    
21 May 2014	18:10:51	30        	2         	151       	302985    
21 May 2014	18:11:00	31        	3         	158       	312050    
21 May 2014	18:11:10	32        	3         	162       	321229    
21 May 2014	18:11:19	33        	3         	168       	330217    
21 May 2014	18:11:29	34        	6         	171       	340308    
21 May 2014	18:11:38	35        	3         	177       	349851    
21 May 2014	18:11:49	36        	7         	184       	360729    
21 May 2014	18:11:58	37        	2         	189       	369934    
21 May 2014	18:12:07	38        	2         	194       	378977    
21 May 2014	18:12:18	39        	5         	198       	389322    
21 May 2014	18:12:27	40        	3         	204       	398420    
21 May 2014	18:12:36	41        	3         	205       	407431    
21 May 2014	18:12:47	42        	6         	214       	418695    
21 May 2014	18:12:56	43        	2         	219       	427961    
21 May 2014	18:13:06	44        	3         	224       	437240    
21 May 2014	18:13:16	45        	7         	226       	447553    
21 May 2014	18:13:25	46        	2         	231       	456701    
21 May 2014	18:13:36	47        	6         	238       	467117    
21 May 2014	18:13:46	48        	6         	240       	477197    
21 May 2014	18:13:55	49        	3         	248       	486815    
21 May 2014	18:14:04	50        	3         	252       	495814    
21 May 2014	18:14:13	51        	3         	259       	504830    
21 May 2014	18:14:22	52        	2         	264       	513848    
21 May 2014	18:14:33	53        	6         	268       	524123    
21 May 2014	18:14:42	54        	3         	272       	533210    
21 May 2014	18:14:52	55        	7         	275       	543306    
21 May 2014	18:15:01	56        	3         	282       	552676    
21 May 2014	18:15:11	57        	6         	287       	562690    
21 May 2014	18:15:20	58        	3         	293       	571434    
21 May 2014	18:15:30	59        	5         	296       	581114    
21 May 2014	18:15:40	60        	6         	303       	591991    
21 May 2014	18:15:49	61        	3         	307       	600645    
21 May 2014	18:15:59	62        	7         	312       	610286    
21 May 2014	18:16:08	63        	6         	316       	619901    
21 May 2014	18:16:21	64        	10        	324       	632635    
21 May 2014	18:16:30	65        	3         	329       	641488    
21 May 2014	18:16:39	66        	3         	334       	650180    
21 May 2014	18:16:48	67        	7         	337       	659868    
21 May 2014	18:16:57	68        	3         	342       	668640    
21 May 2014	18:17:07	69        	5         	345       	678274    
21 May 2014	18:17:17	70        	10        	354       	688970    
21 May 2014	18:17:26	71        	3         	357       	697605    
21 May 2014	18:17:35	72        	3         	361       	706759    
21 May 2014	18:17:44	73        	2         	368       	715442    
21 May 2014	18:17:52	74        	3         	370       	724071    
21 May 2014	18:18:02	75        	5         	375       	733751    
21 May 2014	18:18:11	76        	3         	383       	742503    
21 May 2014	18:18:20	77        	3         	389       	751175    
21 May 2014	18:18:28	78        	2         	392       	759826    
21 May 2014	18:18:40	79        	9         	397       	771534    
21 May 2014	18:18:50	80        	6         	401       	781550    
21 May 2014	18:18:59	81        	2         	409       	790511    
21 May 2014	18:19:08	82        	3         	412       	799489    
21 May 2014	18:19:17	83        	3         	419       	808475    
21 May 2014	18:19:26	84        	3         	423       	818072    
21 May 2014	18:19:36	85        	3         	426       	827666    
21 May 2014	18:19:46	86        	7         	432       	837326    
21 May 2014	18:19:56	87        	10        	435       	847982    
21 May 2014	18:20:08	88        	11        	444       	859179    
21 May 2014	18:20:20	89        	15        	448       	871883    
